"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact.cypher"
"axon-common-5.1.2","org.jspecify.annotations",15,15,175,"NullMarked",""
"axon-common-5.1.2","org.slf4j",14,49,175,"LoggerFactory,Logger",""
"axon-common-5.1.2","javax.cache.event",8,26,175,"CacheEntryUpdatedListener,CacheEntryExpiredListener,CacheEntryListenerException,CacheEntryListener,CacheEntryEventFilter,CacheEntryEvent,CacheEntryCreatedListener,CacheEntryRemovedListener",""
"axon-common-5.1.2","org.ehcache.event",8,30,175,"EventFiring,CacheEventListener,EventOrdering,EventType,CacheEvent",""
"axon-common-5.1.2","jakarta.persistence",5,11,175,"EntityManager,EntityManagerFactory",""
"axon-common-5.1.2","com.fasterxml.jackson.databind",3,14,175,"JsonNode,SerializationFeature,ObjectMapper",""
"axon-common-5.1.2","javax.cache.configuration",3,9,175,"CacheEntryListenerConfiguration,Factory",""
"axon-common-5.1.2","com.fasterxml.jackson.databind.node",2,16,175,"ObjectNode,ArrayNode",""
"axon-common-5.1.2","javax.cache",1,13,175,"Cache",""
"axon-common-5.1.2","org.ehcache.config",1,2,175,"CacheRuntimeConfiguration",""
"axon-common-5.1.2","org.ehcache.core",1,13,175,"Ehcache",""
"axon-conversion-5.1.2","org.apache.avro",16,54,41,"AvroRuntimeException,Schema,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaIncompatibilityType,SchemaNormalization,SchemaCompatibility,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaCompatibilityType,InvalidAvroMagicException,InvalidNumberEncodingException",""
"axon-conversion-5.1.2","com.fasterxml.jackson.databind",8,42,41,"JsonNode,ObjectMapper,JavaType",""
"axon-conversion-5.1.2","org.apache.avro.message",8,28,41,"BinaryMessageDecoder,BinaryMessageEncoder,SchemaStore,BadHeaderException",""
"axon-conversion-5.1.2","org.slf4j",8,39,41,"Logger,LoggerFactory",""
"axon-conversion-5.1.2","tools.jackson.databind",8,39,41,"JsonNode,ObjectMapper,JavaType",""
"axon-conversion-5.1.2","org.apache.avro.generic",7,29,41,"GenericRecord,GenericDatumReader,GenericData",""
"axon-conversion-5.1.2","org.jspecify.annotations",5,5,41,"NullMarked",""
"axon-conversion-5.1.2","org.apache.avro.specific",4,14,41,"SpecificRecordBase,SpecificData",""
