"projectName","shortCodeUnitName","codeUnitName","pageRank","articleRank","normalizedPageRankToArticleRankDifference","rank","Source Cypher File: domains/archetypes/labels/ArchetypeAuthority.cypher"
"axon-common-5.1.2","common","org.axonframework.common",11.60540778191177,6.034603518270907,0,1,""
"axon-common-5.1.2","io","org.axonframework.common.io",0.45595336162369127,0.20493712836799283,0.01737246346227915,2,""
"axon-common-5.1.2","function","org.axonframework.common.function",0.24399225634532853,0.1769849763494735,0.0036193639729967227,3,""
"axon-metrics-micrometer-5.1.2","micrometer","org.axonframework.extension.metrics.micrometer",0.21375000000000002,0.16542439024390246,0.0029439137418625127,4,""
"axoniq-spring-boot-autoconfigure-5.1.2","actuator","io.axoniq.framework.springboot.actuator",0.20533500000000005,0.1744000536202405,0.0006840469813000445,5,""
"axon-update-5.1.2","update","org.axonframework.update",0.15000000000000002,0.15000000000000002,0,6,""
"axon-conversion-5.1.2","avro","org.axonframework.conversion.avro",0.15000000000000002,0.15000000000000002,0,7,""
"axon-eventsourcing-5.1.2","configuration","org.axonframework.eventsourcing.configuration",0.15000000000000002,0.15000000000000002,0,8,""
"axon-tracing-opentelemetry-5.1.2","opentelemetry","org.axonframework.extension.tracing.opentelemetry",0.15000000000000002,0.15000000000000002,0,9,""
"axon-conversion-5.1.2","jackson2","org.axonframework.conversion.jackson2",0.15000000000000002,0.15000000000000002,0,10,""
