"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: Topological_Sort/Topological_Sort_Query.cypher"
"org.axonframework.test.extension","extension",0,0,4,5,11,""
"org.axonframework.eventsourcing.configuration","configuration",1,0,4,31,1237,""
"org.axonframework.extension.metrics.micrometer.springboot","springboot",2,0,4,5,14,""
"org.axonframework.common.caching","caching",3,0,4,22,43,""
"org.axonframework.common.lock","lock",4,0,4,17,21,""
"org.axonframework.messaging.tracing.attributes","attributes",5,0,4,0,28,""
"org.axonframework.common.digest","digest",6,0,4,0,1,""
"org.axonframework.extension.tracing.opentelemetry","opentelemetry",7,0,4,5,37,""
"org.axonframework.messaging.core.reflection","reflection",8,0,4,0,44,""
"org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",9,0,4,2,24,""
"org.axonframework.messaging.commandhandling.retry","retry",10,0,4,0,168,""
"org.axonframework.messaging.commandhandling.tracing","tracing",11,0,4,7,156,""
"org.axonframework.messaging.queryhandling.tracing","tracing",12,0,4,6,73,""
"org.axonframework.messaging.eventhandling.tracing","tracing",13,0,4,6,135,""
"org.axonframework.conversion.converter","converter",14,0,4,0,7,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",15,0,4,1,30,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",16,0,4,13,160,""
"org.axonframework.messaging.eventhandling.replay.annotation","annotation",17,0,4,6,156,""
"org.axonframework.messaging.core.unitofwork.annotation","annotation",18,0,4,1,17,""
"org.axonframework.messaging.core.retry","retry",19,1,4,23,179,""
"org.axonframework.extension.springboot.autoconfig","autoconfig",20,1,4,60,714,""
"org.axonframework.extension.metrics.micrometer","micrometer",21,1,4,19,232,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir",22,2,4,2,0,""
"org.axonframework.conversion.jackson2","jackson2",23,2,4,5,21,""
"org.axonframework.conversion.avro","avro",24,2,4,22,49,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",25,2,4,6,99,""
"org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",26,2,4,4,24,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",27,1,4,12,397,""
"org.axonframework.extension.springboot","springboot",28,2,4,34,24,""
"org.axonframework.extension.springboot.service.connection","connection",29,2,4,5,6,""
"org.axonframework.extension.springboot.actuator.axonserver","axonserver",30,2,4,2,3,""
"org.axonframework.modelling.configuration","configuration",31,1,4,36,585,""
"org.axonframework.extension.springboot.util","util",32,2,4,9,7,""
"org.axonframework.extension.springboot.util.jpa","jpa",33,2,4,1,1,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",34,2,4,17,1239,""
"org.axonframework.update","update",35,2,4,10,93,""
"org.axonframework.update.detection","detection",36,3,4,5,5,""
"org.axonframework.update.common","common",37,3,4,1,1,""
"org.axonframework.test.fixture","fixture",38,1,4,134,1079,""
"org.axonframework.update.api","api",39,4,4,18,11,""
"org.axonframework.test.util","util",40,2,4,23,164,""
"org.axonframework.test.matchers","matchers",41,2,4,35,47,""
"org.axonframework.common.jdbc","jdbc",42,3,4,21,19,""
"org.axonframework.test","test",43,3,4,8,13,""
"org.axonframework.extension.springboot.actuator","actuator",44,3,4,2,0,""
"org.axonframework.test.server","server",45,3,4,3,2,""
"org.axonframework.messaging.core.timeout","timeout",46,3,4,15,182,""
"org.axonframework.update.configuration","configuration",47,3,4,19,19,""
"org.axonframework.messaging.tracing","tracing",48,1,4,136,68,""
"org.axonframework.common.jpa","jpa",49,3,4,10,14,""
"org.axonframework.conversion","conversion",119,3,4,468,21,""
