"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-5.0.1",570,"Interface",137,""
"axon-messaging-5.0.1",570,"Class",372,""
"axon-messaging-5.0.1",570,"Annotation",27,""
"axon-messaging-5.0.1",570,"Enum",8,""
"axon-common-5.0.1",150,"Class",101,""
"axon-common-5.0.1",150,"Interface",39,""
"axon-common-5.0.1",150,"Enum",4,""
"axon-common-5.0.1",150,"Annotation",2,""
"axon-eventsourcing-5.0.1",100,"Class",61,""
"axon-eventsourcing-5.0.1",100,"Interface",24,""
"axon-eventsourcing-5.0.1",100,"Annotation",7,""
"axon-modelling-5.0.1",93,"Class",61,""
"axon-modelling-5.0.1",93,"Interface",29,""
"axon-modelling-5.0.1",93,"Annotation",3,""
"axon-test-5.0.1",73,"Class",50,""
"axon-test-5.0.1",73,"Interface",18,""
"axon-server-connector-5.0.1",72,"Class",56,""
"axon-server-connector-5.0.1",72,"Interface",10,""
"axon-server-connector-5.0.1",72,"Enum",2,""
"axon-spring-boot-autoconfigure-5.0.1",70,"Class",62,""
"axon-spring-boot-autoconfigure-5.0.1",70,"Enum",2,""
"axon-spring-boot-autoconfigure-5.0.1",70,"Interface",1,""
"axon-spring-boot-autoconfigure-5.0.1",70,"Annotation",3,""
"axon-conversion-5.0.1",30,"Class",23,""
"axon-conversion-5.0.1",30,"Interface",5,""
"axon-update-5.0.1",23,"Class",14,""
"axon-update-5.0.1",23,"Interface",3,""
"axon-update-5.0.1",23,"Enum",1,""
"axon-metrics-micrometer-5.0.1",13,"Class",13,""
"axon-tracing-opentelemetry-5.0.1",5,"Class",5,""
