"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-4.11.2",808,"Class",605,""
"axon-messaging-4.11.2",808,"Interface",157,""
"axon-messaging-4.11.2",808,"Annotation",27,""
"axon-messaging-4.11.2",808,"Enum",19,""
"axon-modelling-4.11.2",158,"Class",115,""
"axon-modelling-4.11.2",158,"Interface",28,""
"axon-modelling-4.11.2",158,"Annotation",12,""
"axon-modelling-4.11.2",158,"Enum",3,""
"axon-server-connector-4.11.2",142,"Class",116,""
"axon-server-connector-4.11.2",142,"Interface",25,""
"axon-server-connector-4.11.2",142,"Enum",1,""
"axon-eventsourcing-4.11.2",133,"Class",98,""
"axon-eventsourcing-4.11.2",133,"Interface",32,""
"axon-eventsourcing-4.11.2",133,"Annotation",1,""
"axon-eventsourcing-4.11.2",133,"Enum",2,""
"axon-spring-boot-autoconfigure-4.11.2",88,"Enum",2,""
"axon-spring-boot-autoconfigure-4.11.2",88,"Class",82,""
"axon-spring-boot-autoconfigure-4.11.2",88,"Annotation",3,""
"axon-spring-boot-autoconfigure-4.11.2",88,"Interface",1,""
"axon-test-4.11.2",87,"Class",71,""
"axon-test-4.11.2",87,"Interface",16,""
"axon-configuration-4.11.2",42,"Interface",17,""
"axon-configuration-4.11.2",42,"Class",23,""
"axon-configuration-4.11.2",42,"Enum",1,""
"axon-configuration-4.11.2",42,"Annotation",1,""
"axon-disruptor-4.11.2",22,"Class",22,""
"axon-tracing-opentelemetry-4.11.2",5,"Class",5,""
