"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/topological-sort/Topological_Sort_Query.cypher"
"./vite/cloudflare-dev-proxy.ts","cloudflare-dev-proxy",0,0,5,1,15,""
"./lib/dom/ssr/links.ts","links",1,0,5,0,9,""
"./cli.ts","cli",2,0,5,0,27,""
"./index.ts","react-router-fs-routes",3,0,5,0,5,""
"./tsup.config.rsc.ts","tsup",4,0,5,0,4,""
"./tsup.config.ts","tsup",5,0,5,0,5,""
"./vite/rsc/plugin.ts","plugin",6,0,5,1,54,""
"./index.ts","create-react-router",8,0,5,0,28,""
"./cli/run.ts","run",9,0,5,0,9,""
"./lib/types/route-module-annotations.ts","route-module-annotations",10,0,5,1,0,""
"./defineRoutes.ts","defineRoutes",11,0,5,2,0,""
"./worker.ts","worker",12,0,5,5,18,""
"./sessions/workersKVStorage.ts","workersKVStorage",13,0,5,1,5,""
"./copy-template.ts","copy-template",14,1,5,2,33,""
"./cli/commands.ts","commands",15,1,5,5,15,""
"./cli/useJavascript.ts","useJavascript",16,2,5,1,6,""
"./config/format.ts","format",17,2,5,1,0,""
"./vite/build.ts","build",18,2,5,1,8,""
"./vite/dev.ts","dev",19,2,5,1,11,""
"./manifest.ts","manifest",20,1,5,4,0,""
"./vite/profiler.ts","profiler",21,3,5,5,9,""
"./normalizeSlashes.ts","normalizeSlashes",22,1,5,1,3,""
"./vite/has-rsc-plugin.ts","has-rsc-plugin",23,3,5,2,3,""
"./flatRoutes.ts","flatRoutes",24,1,5,1,15,""
"./manifest.ts","manifest",25,2,5,3,0,""
"./normalizeSlashes.ts","normalizeSlashes",26,2,5,2,3,""
"./vite/rsc/virtual-route-config.ts","virtual-route-config",27,1,5,1,4,""
"./vite/rsc/virtual-route-modules.ts","virtual-route-modules",28,1,5,4,6,""
"./loading-indicator.ts","loading-indicator",29,1,5,1,12,""
"./prompt.ts","prompt",30,1,5,1,2,""
"./prompts-confirm.ts","prompts-confirm",31,2,5,1,5,""
"./prompts-multi-select.ts","prompts-multi-select",32,2,5,1,5,""
"./prompts-text.ts","prompts-text",33,2,5,1,8,""
"./prompts-select.ts","prompts-select",34,3,5,3,6,""
"./prompts-prompt-base.ts","prompts-prompt-base",35,4,5,8,14,""
"./utils.ts","utils",36,5,5,36,28,""
"./cli.ts","cli",129,0,5,0,2,""
