"firstCommunityId","communityId","intermediateCommunityIds","memberCount","memberNames","Source Cypher File: Community_Detection/Community_Detection_1d_Stream_Intermediate_Mutated.cypher"
11,3,"11,124,14,3",69,"org.axonframework.config.ConfigurerModule,org.axonframework.config.Configurer,org.axonframework.config.UpdateCheckerConfigurerModule,org.axonframework.config.Configuration,org.axonframework.config.ModuleConfiguration,org.axonframework.config.DefaultConfigurer,org.axonframework.messaging.correlation.CorrelationDataProvider,org.axonframework.modelling.command.RepositorySpanFactory,org.axonframework.deadline.DeadlineManager,org.axonframework.modelling.saga.ResourceInjector,org.axonframework.serialization.upcasting.event.EventUpcasterChain,org.axonframework.messaging.interceptors.CorrelationDataInterceptor,org.axonframework.eventhandling.EventProcessorSpanFactory,org.axonframework.eventsourcing.Snapshotter,org.axonframework.eventsourcing.SnapshotterSpanFactory,org.axonframework.commandhandling.gateway.CommandGateway,org.axonframework.eventhandling.gateway.EventGateway,org.axonframework.config.DefaultConfigurer$ConfigurationImpl,org.axonframework.config.Component,org.axonframework.config.MessageHandlerRegistrar,org.axonframework.config.AxonIQConsoleModule,org.axonframework.config.EventProcessingConfigurer,org.axonframework.config.EventProcessingModule,org.axonframework.config.ConfigurationParameterResolverFactory,org.axonframework.config.DefaultConfigurer$LifecycleState,org.axonframework.config.AggregateConfiguration,org.axonframework.config.ConfigurationResourceInjector,org.axonframework.config.TagsConfiguration,org.axonframework.config.DefaultConfigurer$1,org.axonframework.config.ConfigurationScopeAwareProvider,org.axonframework.config.LifecycleHandler,org.axonframework.config.LifecycleOperations,org.axonframework.config.EventProcessingConfiguration,org.axonframework.eventhandling.EventProcessor,org.axonframework.messaging.MessageHandlerInterceptor,org.axonframework.eventhandling.ErrorHandler,org.axonframework.messaging.unitofwork.RollbackConfiguration,org.axonframework.eventhandling.ListenerInvocationErrorHandler,org.axonframework.messaging.deadletter.EnqueuePolicy,org.axonframework.config.SagaConfiguration,org.axonframework.config.AggregateConfigurer,org.axonframework.messaging.Distributed,org.axonframework.modelling.command.inspection.AggregateMetaModelFactory,org.axonframework.modelling.saga.repository.NoResourceInjector,org.axonframework.messaging.StreamableMessageSource,org.axonframework.messaging.SubscribableMessageSource,org.axonframework.eventhandling.TrackingEventProcessorConfiguration,org.axonframework.config.SagaConfigurer,org.axonframework.config.EventProcessingConfigurer$DeadLetteringInvokerConfiguration,org.axonframework.config.EventProcessingConfigurer$PooledStreamingProcessorConfiguration,org.axonframework.config.EventProcessingConfigurer$SubscribableMessageSourceDefinitionBuilder,org.axonframework.config.EventProcessingConfigurer$EventProcessorBuilder,org.axonframework.messaging.MessageHandlerInterceptorSupport,org.axonframework.eventhandling.pooled.PooledStreamingEventProcessor$Builder,org.axonframework.config.EventProcessingModule$1,org.axonframework.config.EventProcessingModule$InstanceProcessingGroupSelector,org.axonframework.config.EventProcessingModule$InstanceToTypeProcessingGroupSelectorAdapter,org.axonframework.config.EventProcessingModule$ProcessingGroupSelector,org.axonframework.config.ProcessingGroup,org.axonframework.config.EventProcessingModule$TypeProcessingGroupSelector,org.axonframework.config.SubscribableMessageSourceDefinition,org.axonframework.config.SagaConfigurer$SagaConfigurationImpl,org.axonframework.springboot.autoconfig.EventProcessingAutoConfiguration,org.axonframework.axonserver.connector.event.axon.EventProcessorInfoConfiguration,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration,org.axonframework.messaging.MessageDispatchInterceptorSupport,org.axonframework.springboot.autoconfig.InfraConfiguration,org.axonframework.axonserver.connector.ServerConnectorConfigurerModule,org.axonframework.messaging.correlation.MultiCorrelationDataProvider",""
1305,17,"1305,24,0,17",53,"org.axonframework.commandhandling.AnnotationCommandHandlerAdapter,org.axonframework.util.HandlerTypeResolver,org.axonframework.common.annotation.AnnotationUtils,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory,org.axonframework.messaging.annotation.MessageHandlingMember,org.axonframework.commandhandling.MethodCommandHandlerDefinition,org.axonframework.commandhandling.MethodCommandHandlerDefinition$MethodCommandMessageHandlingMember,org.axonframework.commandhandling.MethodCommandHandlerDefinition$1,org.axonframework.commandhandling.CommandHandler,org.axonframework.deadline.annotation.DeadlineMethodMessageHandlerDefinition,org.axonframework.deadline.annotation.DeadlineMethodMessageHandlerDefinition$DeadlineMethodMessageHandlingMember,org.axonframework.deadline.annotation.DeadlineMethodMessageHandlerDefinition$1,org.axonframework.eventhandling.replay.ReplayAwareMessageHandlerWrapper,org.axonframework.eventhandling.replay.ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember,org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition,org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition$ResultHandlingInterceptorMember,org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember,org.axonframework.queryhandling.annotation.MethodQueryMessageHandlerDefinition,org.axonframework.queryhandling.QueryHandler,org.axonframework.queryhandling.annotation.MethodQueryMessageHandlerDefinition$MethodQueryMessageHandlingMember,org.axonframework.messaging.annotation.AnnotatedHandlerInspector,org.axonframework.messaging.annotation.NoMoreInterceptors,org.axonframework.messaging.annotation.HandlerComparator,org.axonframework.messaging.annotation.MessageHandlerInterceptorMemberChain,org.axonframework.messaging.annotation.ChainedMessageHandlerInterceptorMember,org.axonframework.messaging.annotation.MessageInterceptingMember,org.axonframework.commandhandling.CommandMessageHandlingMember,org.axonframework.messaging.annotation.WrappedMessageHandlingMember,org.axonframework.common.IdentifierValidator,org.axonframework.common.ListUtils,org.axonframework.deadline.annotation.DeadlineHandlingMember,org.axonframework.eventhandling.AnnotationEventHandlerAdapter,org.axonframework.messaging.annotation.UnsupportedHandlerException,org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition,org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition$EndSageMessageHandlingMember,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition$MethodCommandHandlerInterceptorHandlingMember,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition$1,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition$1,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition$MethodCreationPolicyHandlingMember,org.axonframework.modelling.command.inspection.ChildEntityDefinition,org.axonframework.modelling.command.inspection.ChildEntity,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.command.AggregateIdentifier,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember,org.axonframework.modelling.command.inspection.AggregateModellingException,org.axonframework.modelling.saga.metamodel.AnnotationSagaMetaModelFactory$InspectedSagaModel,org.axonframework.modelling.command.inspection.CommandHandlerInterceptorHandlingMember,org.axonframework.modelling.saga.MetaDataAssociationResolver",""
1259,22,"1259,48,19,22",52,"org.axonframework.messaging.Message,org.axonframework.messaging.correlation.MessageOriginProvider,org.axonframework.messaging.annotation.ParameterResolver,org.axonframework.common.Priority,org.axonframework.messaging.annotation.FixedValueParameterResolver,org.axonframework.tracing.opentelemetry.MetadataContextGetter,org.axonframework.tracing.SpanUtils,org.axonframework.queryhandling.GenericQueryResponseMessage,org.axonframework.messaging.ResultMessage,org.axonframework.commandhandling.GenericCommandResultMessage,org.axonframework.messaging.annotation.AnnotatedMessageHandlingMemberDefinition,org.axonframework.messaging.annotation.AnnotatedMessageHandlingMember,org.axonframework.messaging.annotation.MessageHandler,org.axonframework.messaging.interceptors.MessageHandlerInterceptor,org.axonframework.commandhandling.CurrentUnitOfWorkParameterResolverFactory,org.axonframework.eventhandling.ConcludesBatchParameterResolverFactory,org.axonframework.messaging.annotation.AbstractAnnotatedParameterResolverFactory,org.axonframework.eventhandling.ConcludesBatch,org.axonframework.eventhandling.SequenceNumberParameterResolverFactory,org.axonframework.eventhandling.SequenceNumber,org.axonframework.eventhandling.SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver,org.axonframework.eventhandling.TimestampParameterResolverFactory,org.axonframework.eventhandling.Timestamp,org.axonframework.eventhandling.TimestampParameterResolverFactory$TimestampParameterResolver,org.axonframework.messaging.annotation.DefaultParameterResolverFactory,org.axonframework.messaging.annotation.PayloadParameterResolver,org.axonframework.messaging.annotation.DefaultParameterResolverFactory$MessageParameterResolver,org.axonframework.messaging.annotation.DefaultParameterResolverFactory$AnnotatedMetaDataParameterResolver,org.axonframework.messaging.annotation.DefaultParameterResolverFactory$MetaDataParameterResolver,org.axonframework.messaging.annotation.MessageIdentifierParameterResolverFactory,org.axonframework.messaging.annotation.MessageIdentifierParameterResolverFactory$MessageIdentifierParameterResolver,org.axonframework.messaging.annotation.MessageIdentifier,org.axonframework.messaging.annotation.SourceIdParameterResolverFactory,org.axonframework.messaging.annotation.SourceId,org.axonframework.messaging.annotation.SourceIdParameterResolverFactory$SourceIdParameterResolver,org.axonframework.messaging.annotation.AggregateTypeParameterResolverFactory,org.axonframework.messaging.annotation.AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver,org.axonframework.messaging.annotation.AggregateType,org.axonframework.messaging.MessageDecorator,org.axonframework.messaging.GenericResultMessage,org.axonframework.commandhandling.GenericCommandMessage,org.axonframework.eventhandling.replay.GenericResetContext,org.axonframework.eventhandling.replay.ResetContext,org.axonframework.eventhandling.ResetHandler,org.axonframework.messaging.annotation.SimpleResourceParameterResolverFactory,org.axonframework.messaging.interceptors.BeanValidationInterceptor,org.axonframework.messaging.interceptors.LoggingInterceptor,org.axonframework.messaging.interceptors.legacyvalidation.BeanValidationInterceptor,org.axonframework.messaging.interceptors.ExceptionHandler,org.axonframework.queryhandling.GenericSubscriptionQueryUpdateMessage,org.axonframework.queryhandling.SimpleQueryBus$CatchLastError,org.axonframework.test.matchers.PayloadsMatcher",""
316,6,"316,3,12,6",50,"org.axonframework.serialization.RevisionResolver,org.axonframework.serialization.xml.XStreamSerializer,org.axonframework.serialization.Serializer,org.axonframework.serialization.AnnotationRevisionResolver,org.axonframework.serialization.Revision,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerBinaryEventData,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerEventScheduler$Builder,org.axonframework.deadline.dbscheduler.DbSchedulerBinaryDeadlineDetails,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerEventScheduler,org.axonframework.serialization.avro.AvroSerializer$Builder,org.axonframework.serialization.json.JacksonSerializer,org.axonframework.serialization.json.JacksonSerializer$Builder,org.axonframework.serialization.JavaSerializer,org.axonframework.serialization.avro.AvroSerializer,org.axonframework.serialization.avro.AvroSerializerStrategy,org.axonframework.serialization.JavaSerializer$Builder,org.axonframework.serialization.ChainingConverter,org.axonframework.eventhandling.EventData,org.axonframework.serialization.upcasting.event.InitialEventRepresentation,org.axonframework.eventhandling.AbstractEventEntry,org.axonframework.serialization.SerializedObject,org.axonframework.serialization.SerializedType,org.axonframework.eventsourcing.eventstore.EqualRevisionPredicate,org.axonframework.axonserver.connector.util.GrpcMetaDataConverter,org.axonframework.axonserver.connector.util.GrpcMetaDataConverter$1,org.axonframework.axonserver.connector.event.axon.GrpcBackedDomainEventData,org.axonframework.serialization.SimpleSerializedObject,org.axonframework.serialization.SerializedMetaData,org.axonframework.axonserver.connector.event.axon.GrpcMetaDataAwareSerializer,org.axonframework.serialization.UnknownSerializedType,org.axonframework.serialization.Converter,org.axonframework.serialization.SerializedObjectHolder,org.axonframework.serialization.SimpleSerializedType,org.axonframework.commandhandling.distributed.ReplyMessage,org.axonframework.commandhandling.distributed.DispatchMessage,org.axonframework.deadline.dbscheduler.DbSchedulerHumanReadableDeadlineDetails,org.axonframework.deadline.jobrunr.DeadlineDetails,org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder,org.axonframework.serialization.AbstractXStreamSerializer,org.axonframework.serialization.upcasting.event.UpcastedEventRepresentation,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerScheduleToken,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerEventSchedulerSupplier,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder,org.axonframework.eventhandling.scheduling.dbscheduler.EventSchedulerNotSuppliedException,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerHumanReadableEventData,org.axonframework.serialization.FixedValueRevisionResolver,org.axonframework.serialization.SerialVersionUIDRevisionResolver,org.axonframework.serialization.json.ObjectNodeToJsonNodeConverter,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry",""
364,20,"364,13,78,20",42,"org.axonframework.common.transaction.TransactionManager,org.axonframework.common.BuilderUtils,org.axonframework.messaging.deadletter.SequencedDeadLetterProcessor,org.axonframework.messaging.deadletter.SequencedDeadLetterQueue,org.axonframework.messaging.deadletter.DeadLetter,org.axonframework.messaging.deadletter.ThrowableCause,org.axonframework.messaging.deadletter.EnqueueDecision,org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue$Builder,org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue,org.axonframework.eventhandling.deadletter.jdbc.JdbcSequencedDeadLetterQueue,org.axonframework.eventhandling.deadletter.jdbc.JdbcSequencedDeadLetterQueue$Builder,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue$Builder,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue,org.axonframework.springboot.autoconfig.NoOpTransactionAutoConfiguration,org.axonframework.springboot.autoconfig.TransactionAutoConfiguration,org.axonframework.common.StringUtils,org.axonframework.messaging.deadletter.DeadLetterParameterResolverFactory,org.axonframework.messaging.deadletter.DeadLetterParameterResolverFactory$DeadLetterParameterResolver,org.axonframework.common.transaction.Transaction,org.axonframework.commandhandling.gateway.AbstractRetryScheduler,org.axonframework.commandhandling.gateway.AbstractRetryScheduler$Builder,org.axonframework.common.jdbc.JdbcException,org.axonframework.messaging.deadletter.GenericDeadLetter,org.axonframework.messaging.deadletter.Cause,org.axonframework.messaging.deadletter.DeadLetterQueueOverflowException,org.axonframework.messaging.deadletter.NoSuchDeadLetterException,org.axonframework.eventhandling.deadletter.jdbc.JdbcSequencedDeadLetterQueue$1,org.axonframework.eventhandling.deadletter.jdbc.DeadLetterJdbcConverter,org.axonframework.eventhandling.deadletter.jdbc.JdbcDeadLetter,org.axonframework.eventhandling.deadletter.jdbc.DeadLetterStatementFactory,org.axonframework.messaging.deadletter.WrongDeadLetterTypeException,org.axonframework.eventhandling.deadletter.jpa.JpaDeadLetter,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterJpaConverter,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue$1,org.axonframework.eventhandling.deadletter.jpa.NoJpaConverterFoundException,org.axonframework.eventhandling.deadletter.legacyjpa.DeadLetterJpaConverter,org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue$1,org.axonframework.eventhandling.deadletter.legacyjpa.JpaDeadLetter,org.axonframework.messaging.deadletter.InMemorySequencedDeadLetterQueue$Builder,org.axonframework.messaging.deadletter.InMemorySequencedDeadLetterQueue,org.axonframework.messaging.interceptors.TransactionManagingInterceptor",""
324,12,"324,14,31,12",37,"org.axonframework.queryhandling.SimpleQueryBus$Builder,org.axonframework.queryhandling.annotation.AnnotationQueryHandlerAdapter,org.axonframework.queryhandling.SimpleQueryBus,org.axonframework.queryhandling.DefaultQueryGateway,org.axonframework.queryhandling.QueryGateway,org.axonframework.queryhandling.QueryInvocationErrorHandler,org.axonframework.queryhandling.DefaultQueryGateway$Builder,org.axonframework.monitoring.NoOpMessageMonitor,org.axonframework.queryhandling.QueryMessage,org.axonframework.queryhandling.NoHandlerForQueryException,org.axonframework.messaging.responsetypes.ResponseType,org.axonframework.queryhandling.GenericStreamingQueryMessage,org.axonframework.queryhandling.SubscriptionQueryResult,org.axonframework.queryhandling.SubscriptionQueryBackpressure,org.axonframework.queryhandling.StreamingQueryMessage,org.axonframework.axonserver.connector.query.subscription.DeserializedResult,org.axonframework.axonserver.connector.query.subscription.DisposableResult,org.axonframework.monitoring.MessageMonitor$MonitorCallback,org.axonframework.commandhandling.MonitorAwareCallback,org.axonframework.monitoring.NoOpMessageMonitorCallback,org.axonframework.messaging.responsetypes.OptionalResponseType,org.axonframework.messaging.responsetypes.ResponseTypes,org.axonframework.messaging.responsetypes.PublisherResponseType,org.axonframework.queryhandling.GenericQueryMessage,org.axonframework.queryhandling.DefaultSubscriptionQueryResult,org.axonframework.queryhandling.GenericSubscriptionQueryMessage,org.axonframework.queryhandling.QuerySubscription,org.axonframework.queryhandling.SimpleQueryBus$1,org.axonframework.queryhandling.registration.DuplicateQueryHandlerResolver,org.axonframework.queryhandling.registration.DuplicateQueryHandlerResolution,org.axonframework.queryhandling.registration.FailingDuplicateQueryHandlerResolver,org.axonframework.queryhandling.registration.LoggingDuplicateQueryHandlerResolver,org.axonframework.queryhandling.SimpleQueryBus$MonitorCallbackContextWriter,org.axonframework.queryhandling.SimpleQueryBus$ErrorIfComplete,org.axonframework.queryhandling.SimpleQueryBus$SuccessReporter,org.axonframework.queryhandling.annotation.QueryHandlingMember,org.axonframework.queryhandling.registration.DuplicateQueryHandlerSubscriptionException",""
321,8,"321,98,47,8",36,"org.axonframework.commandhandling.LoggingDuplicateCommandHandlerResolver,org.axonframework.commandhandling.SimpleCommandBus$Builder,org.axonframework.commandhandling.SimpleCommandBus,org.axonframework.commandhandling.DuplicateCommandHandlerResolver,org.axonframework.commandhandling.CommandBusSpanFactory,org.axonframework.commandhandling.CommandBus,org.axonframework.modelling.command.CreationPolicyAggregateFactory,org.axonframework.modelling.command.AggregateAnnotationCommandHandler,org.axonframework.modelling.command.CommandTargetResolver,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$Builder,org.axonframework.commandhandling.CommandMessage,org.axonframework.commandhandling.NoHandlerForCommandException,org.axonframework.messaging.MessageHandler,org.axonframework.axonserver.connector.command.AxonServerCommandBus$CommandProcessingTask,org.axonframework.commandhandling.CommandMessageHandler,org.axonframework.commandhandling.DuplicateCommandHandlerResolution,org.axonframework.commandhandling.callbacks.LoggingCallback,org.axonframework.commandhandling.AsynchronousCommandBus$Builder,org.axonframework.commandhandling.AsynchronousCommandBus,org.axonframework.commandhandling.distributed.UnresolvedRoutingKeyPolicy,org.axonframework.commandhandling.FailingDuplicateCommandHandlerResolver,org.axonframework.commandhandling.DuplicateCommandHandlerSubscriptionException,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.VersionedAggregateIdentifier,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AlwaysCreateAggregateCommandHandler,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateCommandHandler,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateConstructorCommandHandler,org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateCreateOrUpdateCommandHandler,org.axonframework.modelling.command.inspection.CreationPolicyMember,org.axonframework.modelling.command.IdentifierMissingException,org.axonframework.modelling.command.MetaDataCommandTargetResolver,org.axonframework.test.utils.CallbackBehavior,org.axonframework.test.utils.RecordingCommandBus,org.axonframework.test.utils.DefaultCallbackBehavior,org.axonframework.test.saga.CommandValidator",""
329,12,"329,14,31,12",35,"org.axonframework.queryhandling.QueryBusSpanFactory,org.axonframework.tracing.NoOpSpanFactory,org.axonframework.queryhandling.QueryBus,org.axonframework.axonserver.connector.TargetContextResolver,org.axonframework.axonserver.connector.query.AxonServerQueryBus$Builder,org.axonframework.axonserver.connector.query.QueryPriorityCalculator,org.axonframework.axonserver.connector.query.AxonServerQueryBus,org.axonframework.tracing.Span,org.axonframework.tracing.SpanScope,org.axonframework.axonserver.connector.util.UpstreamAwareStreamObserver,org.axonframework.axonserver.connector.PriorityRunnable,org.axonframework.axonserver.connector.util.ProcessingInstructionHelper,org.axonframework.axonserver.connector.query.StreamableFluxResponse,org.axonframework.queryhandling.QueryResponseMessage,org.axonframework.axonserver.connector.query.StreamableFluxResponse$SendingSubscriber,org.axonframework.axonserver.connector.query.StreamableResponse,org.axonframework.axonserver.connector.query.QuerySerializer,org.axonframework.axonserver.connector.query.AxonServerQueryBus$ActivityFinisher,org.axonframework.lifecycle.ShutdownLatch$ActivityHandle,org.axonframework.axonserver.connector.query.AxonServerQueryBus$1,org.axonframework.axonserver.connector.query.AxonServerQueryBus$LocalSegmentAdapter$1,org.axonframework.axonserver.connector.query.QueryProcessingTask,org.axonframework.axonserver.connector.query.AxonServerQueryBus$LocalSegmentAdapter,org.axonframework.messaging.responsetypes.ConvertingResponseMessage,org.axonframework.axonserver.connector.query.StreamableInstanceResponse,org.axonframework.axonserver.connector.query.StreamableMultiInstanceResponse,org.axonframework.lifecycle.ShutdownLatch,org.axonframework.axonserver.connector.query.AxonServerQueryBus$QueryResponseSpliterator,org.axonframework.axonserver.connector.DispatchInterceptors,org.axonframework.axonserver.connector.query.subscription.AxonServerSubscriptionQueryResult,org.axonframework.axonserver.connector.query.AxonServerQueryBus$ResponseProcessingTask,org.axonframework.tracing.NoOpSpanFactory$NoOpSpan,org.axonframework.lifecycle.ShutdownInProgressException,org.axonframework.queryhandling.QueryBus$1,org.axonframework.tracing.MultiSpanFactory$MultiSpan",""
457,9,"457,150,42,9",30,"org.axonframework.eventsourcing.eventstore.EventStore,org.axonframework.eventhandling.EventBus,org.axonframework.eventsourcing.AggregateFactory,org.axonframework.common.caching.Cache,org.axonframework.eventsourcing.SnapshotTriggerDefinition,org.axonframework.eventsourcing.EventSourcingRepository,org.axonframework.eventsourcing.EventSourcingRepository$Builder,org.axonframework.modelling.command.inspection.AggregateModel,org.axonframework.eventsourcing.SnapshotTrigger,org.axonframework.eventsourcing.EventSourcedAggregate,org.axonframework.modelling.command.inspection.AnnotatedAggregate,org.axonframework.modelling.command.ApplyMore,org.axonframework.modelling.command.RepositoryProvider,org.axonframework.eventsourcing.EventSourcedAggregate$IgnoreApplyMore,org.axonframework.modelling.command.AggregateNotFoundException,org.axonframework.eventsourcing.AggregateDeletedException,org.axonframework.eventsourcing.conflictresolution.DefaultConflictResolver,org.axonframework.eventsourcing.CachingEventSourcingRepository,org.axonframework.eventsourcing.AggregateCacheEntry,org.axonframework.modelling.command.ConflictingAggregateVersionException,org.axonframework.modelling.command.AggregateLifecycle,org.axonframework.modelling.command.AggregateInvocationException,org.axonframework.modelling.command.inspection.ForwardingCommandMessageHandlingMember,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$1,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.FirstLevelCache,org.axonframework.disruptor.commandhandling.FirstLevelCache$1,org.axonframework.disruptor.commandhandling.FirstLevelCache$WeakValue,org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository",""
1301,17,"1301,24,0,17",26,"org.axonframework.common.AxonConfigurationException,org.axonframework.common.ReflectionUtils,org.axonframework.modelling.saga.AbstractResourceInjector,org.axonframework.eventsourcing.eventstore.legacyjpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.common.io.IOUtils,org.axonframework.common.property.PropertyAccessStrategy,org.axonframework.common.property.Property,org.axonframework.common.property.DirectPropertyAccessStrategy,org.axonframework.common.property.DirectlyAccessedProperty,org.axonframework.common.MemberAccessibilityCallback,org.axonframework.common.digest.Digester,org.axonframework.modelling.command.inspection.EntityModel,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityDefinition,org.axonframework.modelling.command.inspection.AbstractChildEntityDefinition,org.axonframework.modelling.command.ForwardingMode,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityMapDefinition,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityCollectionDefinition,org.axonframework.modelling.command.ForwardToAll,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.inspection.AnnotatedChildEntity,org.axonframework.modelling.command.ForwardMatchingInstances$1,org.axonframework.modelling.command.ForwardMatchingInstances,org.axonframework.modelling.command.ForwardMatchingInstances$NoProperty,org.axonframework.modelling.command.ForwardNone,org.axonframework.modelling.saga.PayloadAssociationResolver",""
