"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeBottleneck.cypher"
"axon-messaging-5.0.0","annotation","org.axonframework.messaging.core.annotation",1070.5333333333333,1,""
"axon-messaging-5.0.0","core","org.axonframework.messaging.core",944.6666666666666,2,""
"axon-server-connector-5.0.0","connector","org.axonframework.axonserver.connector",324.5,3,""
"axon-messaging-5.0.0","annotation","org.axonframework.messaging.commandhandling.annotation",303.9,4,""
"axon-messaging-5.0.0","conversion","org.axonframework.messaging.core.conversion",297.86666666666673,5,""
"axon-messaging-5.0.0","annotation","org.axonframework.messaging.eventhandling.annotation",297.65000000000003,6,""
"axon-messaging-5.0.0","unitofwork","org.axonframework.messaging.core.unitofwork",215.28333333333333,7,""
"axon-messaging-5.0.0","configuration","org.axonframework.messaging.eventhandling.configuration",185,8,""
"axon-server-connector-5.0.0","event","org.axonframework.axonserver.connector.event",182,9,""
"axon-messaging-5.0.0","subscribing","org.axonframework.messaging.eventhandling.processing.subscribing",172.5,10,""
