"projectName","shortCodeUnitName","codeUnitName","pageRank","articleRank","normalizedPageRankToArticleRankDifference","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeAuthority.cypher"
"axon-messaging-4.12.1","common","org.axonframework.common",9.937387783011387,6.088398660469007,0,1,""
"axon-server-connector-4.12.1","connector","org.axonframework.axonserver.connector",1.113845999026873,0.6665685580139583,0.011490515973016993,2,""
"axon-messaging-4.12.1","transaction","org.axonframework.common.transaction",0.5472615391442559,0.3713828900431033,0.0033092314326072167,3,""
"axon-server-connector-4.12.1","axon","org.axonframework.axonserver.connector.event.axon",0.2806066900289699,0.22874812217205404,8.355241541265282e-05,4,""
"axon-server-connector-4.12.1","command","org.axonframework.axonserver.connector.command",0.24734198888904008,0.2078410292178478,0.00020548286078622517,5,""
"axon-spring-boot-autoconfigure-4.12.1","actuator","org.axonframework.actuator",0.20137483082706772,0.1724482200175667,0.0014689043414528352,6,""
"axon-server-connector-4.12.1","heartbeat","org.axonframework.axonserver.connector.heartbeat",0.17550000000000002,0.161143481427531,0.000728881000880687,7,""
"axon-messaging-4.12.1","inmemory","org.axonframework.eventhandling.tokenstore.inmemory",0.15897056108244853,0.15531100624822086,2.2193030678962188e-05,8,""
"axon-server-connector-4.12.1","checker","org.axonframework.axonserver.connector.heartbeat.connection.checker",0.15000000000000002,0.15000000000000002,0,9,""
"axon-server-connector-4.12.1","source","org.axonframework.axonserver.connector.heartbeat.source",0.15000000000000002,0.15000000000000002,0,10,""
