"name","shortName","pageRank","articleRank","betweenness","costEffectiveLazyForward","harmonicCloseness","closeness","hyperlinkInducedTopicSearchAuthority","hyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/centrality/Centrality_90_Summary.cypher"
"org.axonframework.modelling","modelling",0.22703320493909704,0.21820521542458254,61.833333333333336,0,0.12195121951219512,0.09238728750923872,0.061474614673955943,0.11967351490541273,126,182,""
"org.axonframework.modelling.annotation","annotation",0.16709519227983885,0.16496178045266288,72.66666666666666,0,0.0975609756097561,0.0806555684604465,0.032714359417689666,0.12092922548173532,13,314,""
"org.axonframework.modelling.entity","entity",0.2101421163679739,0.20149841915064004,86.83333333333334,0,0.11111111111111112,0.09587360024543641,0.03789105223914355,0.1161601140761109,119,842,""
"org.axonframework.modelling.entity.annotation","annotation",0.16759925574595108,0.1643964560481565,25.833333333333336,0,0.08401084010840107,0.0705736224028907,0.022272489255261325,0.18371805165361163,48,896,""
"org.axonframework.modelling.entity.child","child",0.1893446674819071,0.1865701489479781,0,0,0.08130081300813008,0.0705736224028907,0.017161288475250638,0.11826859075677092,89,242,""
"org.axonframework.modelling.configuration","configuration",0.1673469387755102,0.16663772691397002,0,0,0.008130081300813009,0.008130081300813009,0.009370169194655966,0.05532306016338678,36,585,""
"org.axonframework.modelling.repository","repository",0.29351329690165195,0.2672674547074658,49.83333333333333,0,0.11382113821138211,0.0886441122475741,0.0457361761012581,0.0882842385688539,98,56,""
"io.axoniq.framework.axonserver.connector.shared","shared",0.18025088092847935,0.17815342328158337,72.5,0,0.03116531165311653,0.02540650406504065,0.02519972187889368,0.09270200888394362,22,31,""
"io.axoniq.framework.axonserver.connector.snapshot","snapshot",0.1523044323979592,0.1521801848415321,0,0,0.012195121951219513,0.01084010840108401,0.003360935288478929,0.04205276205587183,1,12,""
"io.axoniq.framework.axonserver.connector.util","util",0.2349809687708463,0.19666023279456896,6,0,0.04878048780487805,0.04390243902439024,0.01709309721498895,0.0007569069081874991,14,13,""
"io.axoniq.framework.axonserver.connector.query","query",0.15921772959183678,0.15872073936612835,0.5,0,0.012195121951219513,0.01084010840108401,0.003360935288478929,0.1345513236170414,17,215,""
"io.axoniq.framework.axonserver.connector.api","api",0.5370077768039687,0.3749888222743757,11,0,0.06504065040650407,0.06504065040650407,0.03571976405030243,0.02478802280510794,36,23,""
"io.axoniq.framework.axonserver.connector.api.query","query",0.16734489608934427,0.1653305517598685,0,0,0.025067750677506776,0.020905923344947733,0.005305107535326379,0.04872008820559551,3,5,""
"io.axoniq.framework.axonserver.connector.api.command","command",0.17312652811912568,0.17044073567982465,0,0,0.025067750677506776,0.020905923344947733,0.005305107535326379,0.03413963258250011,3,5,""
"io.axoniq.framework.axonserver.connector.event","event",0.16036994579081634,0.1598108317868944,32,2.5900000000000016,0.012195121951219513,0.01084010840108401,0.003360935288478929,0.16644403761873777,18,1282,""
"io.axoniq.framework.axonserver.connector.configuration","configuration",0.1518214285714286,0.1516717775192979,41.833333333333336,0,0.008130081300813009,0.008130081300813009,0.0016196511727222629,0.058729337887354474,9,382,""
"io.axoniq.framework.axonserver.connector.command","command",0.15921772959183678,0.15872073936612835,1.5,0,0.012195121951219513,0.01084010840108401,0.003360935288478929,0.13934723803000404,5,99,""
"org.axonframework.update","update",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.055255970722471945,7,100,""
"org.axonframework.update.detection","detection",0.1603779069767442,0.1596731054977712,1,0,0.008130081300813009,0.008130081300813009,0.0031621630445845994,0.020518455486008582,4,5,""
"org.axonframework.update.common","common",0.15741279069767444,0.15690936106983658,0,0,0.008130081300813009,0.008130081300813009,0.0031621630445845994,0.02027029493293008,1,1,""
"org.axonframework.update.api","api",0.32835174418604657,0.29097256329767873,0,0,0.016260162601626018,0.016260162601626018,0.004336383691176615,0.02027029493293008,18,11,""
"org.axonframework.update.configuration","configuration",0.15593023255813956,0.15552748885586926,0,0,0.008130081300813009,0.008130081300813009,0.0031621630445845994,0.02027029493293008,15,19,""
"org.axonframework.common","common",11.60540778191177,6.034603518270907,0,0,0.7845528455284553,0.7057959611854183,0.41605542899167947,0,978,31,""
"org.axonframework.common.io","io",0.45595336162369127,0.20493712836799283,0,0,0.22804878048780486,0.21190009684030356,0.009142790177919238,0,2,0,""
"org.axonframework.common.annotation","annotation",2.6579651568246065,1.4963911969729176,16.333333333333336,0,0.6829268292682927,0.6083745151177001,0.35420527264336327,0.023809826971716342,4347,5,""
"org.axonframework.common.jdbc","jdbc",0.20986927978868716,0.1940542275841737,1,0,0.028455284552845527,0.02601626016260163,0.01865962408119831,0.04706973022986694,17,22,""
"org.axonframework.common.util","util",0.3579044382745331,0.2590379289793503,95,0,0.30284552845528456,0.28062482872019734,0.013226271184868459,0.0005232193525332371,6,3,""
"org.axonframework.common.property","property",0.17453264443965433,0.1691695228510054,0,0,0.2658536585365853,0.24144915133361858,0.025274844349156833,0.023809826971716342,19,15,""
"org.axonframework.common.caching","caching",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.023809826971716342,22,43,""
"org.axonframework.common.tx","tx",0.18229217879573092,0.17260554311595544,91.75,0,0.2834688346883469,0.2468639119380885,0.03663189843259182,0.021163549977917497,10,6,""
"org.axonframework.common.digest","digest",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.023809826971716342,0,1,""
"org.axonframework.common.infra","infra",0.7695330364715046,0.5346075214912087,39.34285714285714,0,0.5691056910569106,0.48292682926829267,0.2990653066694544,0.03419462683961886,1363,27,""
"org.axonframework.common.lifecycle","lifecycle",0.23095306993584536,0.21363974250648973,1.1428571428571428,0,0.32588075880758804,0.30449742699674187,0.01923958210822934,0.023809826971716342,8,4,""
"org.axonframework.common.lock","lock",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.023809826971716342,17,21,""
"org.axonframework.common.jpa","jpa",0.19491556122448983,0.1834113799680355,2,0,0.02032520325203252,0.01829268292682927,0.013885274398281888,0.04706973022986694,7,14,""
"org.axonframework.common.configuration","configuration",1.400518259136048,0.9411632605884734,103.14285714285714,0,0.5203252032520326,0.4659820282413351,0.18146508872850753,0.062295926333434753,3499,362,""
"org.axonframework.common.function","function",0.24399225634532853,0.1769849763494735,0,0,0.22384823848238483,0.1925826344877622,0.015608832915194918,0,6,0,""
"org.axonframework.test.matchers","matchers",0.16586364329268297,0.1650466256703836,1,0,0.012195121951219513,0.01084010840108401,0.00948328181579048,0.07395078237986032,35,47,""
"org.axonframework.test","test",0.273958129157428,0.253249581426824,12.833333333333332,0,0.024390243902439025,0.024390243902439025,0.016299745161580306,0.05401032020451952,8,13,""
"org.axonframework.test.fixture","fixture",0.17390625000000004,0.16999157007376187,45.5,0,0.008130081300813009,0.008130081300813009,0.002584442297164747,0.1657118671548786,134,1079,""
"org.axonframework.test.extension","extension",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.0451608174191452,5,11,""
"org.axonframework.test.util","util",0.15288429878048784,0.15273575012188795,4,0,0.012195121951219513,0.01084010840108401,0.00948328181579048,0.12121513273275074,23,164,""
"org.axonframework.extension.tracing.opentelemetry","opentelemetry",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.04975401971382791,5,37,""
"org.axonframework.eventsourcing","eventsourcing",0.182408697238099,0.17714079593799367,49.633333333333326,0,0.07046070460704607,0.05435109906654623,0.03033394900744705,0.09447692178060293,40,102,""
"org.axonframework.eventsourcing.annotation","annotation",0.17123305745147413,0.1656983656733342,95.66666666666666,0,0.08130081300813008,0.07158437438032918,0.02504837573426024,0.10452727675071892,18,95,""
"org.axonframework.eventsourcing.annotation.reflection","reflection",0.1580860019635913,0.15580412293026938,13.4,0,0.05555555555555555,0.04974507372192366,0.005981838475923595,0.13289541812777791,8,198,""
"org.axonframework.eventsourcing.snapshot.inmemory","inmemory",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.02855973647530357,0,3,""
"org.axonframework.eventsourcing.snapshot.store","store",0.15697125237006657,0.15580338200757257,196.00000000000003,0,0.09485094850948508,0.07932322566468908,0.03222167704338683,0.04698606423058889,7,3,""
"org.axonframework.eventsourcing.snapshot.api","api",0.38169321883211865,0.30433399802099165,47,0,0.09349593495934959,0.07723577235772358,0.031549638429381154,0.018947934781946014,18,13,""
"org.axonframework.eventsourcing.handler","handler",0.19600601745622329,0.1847880582937195,0,0,0.053116531165311655,0.041337455628077405,0.01477685062137885,0.12890060573426562,12,547,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.5329101349692642,0.3825242638353086,231.4,0,0.12195121951219512,0.10870219813309245,0.0677891534217752,0.14106721735898467,275,985,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.15173469387755104,0.15166377269139703,1.5,0,0.008130081300813009,0.008130081300813009,0.009370169194655966,0.0936151580497975,12,417,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.15000000000000002,0.15000000000000002,0,2.09,0,0,0,0.15923886099243353,15,1319,""
"org.axonframework.eventsourcing.configuration","configuration",0.15000000000000002,0.15000000000000002,0,7.56,0,0,0,0.16373532527717416,31,1761,""
"org.axonframework.extension.metrics.micrometer","micrometer",0.21375000000000002,0.16542439024390246,32.857142857142854,0,0.008130081300813009,0.008130081300813009,0.000596249217309006,0.09551099255243241,18,232,""
"org.axonframework.extension.metrics.micrometer.springboot","springboot",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.010418921741352298,4,11,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0.18254104477611943,0.17303013415305316,0,0,0.012195121951219513,0.01084010840108401,0.005465858748873054,0,2,0,""
"org.axonframework.conversion","conversion",1.5892844892064322,1.1206893102429196,34.66666666666666,0,0.4986449864498645,0.4407460545193687,0.1679893993996171,0.061194892458897254,682,30,""
"org.axonframework.conversion.jackson","jackson",0.151539081778268,0.15146440171947578,0,0,0.03143631436314363,0.025328330206378986,0.007987903782514648,0.04699868486112117,5,21,""
"org.axonframework.conversion.converter","converter",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.009613619373940252,0,7,""
"org.axonframework.conversion.jackson2","jackson2",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.04699868486112117,4,21,""
"org.axonframework.conversion.avro","avro",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.07080851183283751,19,49,""
"org.axonframework.messaging.monitoring","monitoring",0.28836204507972185,0.26263798142289807,62.25,0,0.09485094850948508,0.08005003126954348,0.05995763809008015,0.05794945955421645,81,22,""
"org.axonframework.messaging.monitoring.interception","interception",0.1576954088913398,0.1573220085973788,0,0,0.03143631436314363,0.025328330206378986,0.007987903782514648,0.07952222578482977,5,500,""
"org.axonframework.messaging.monitoring.configuration","configuration",0.17848398250168782,0.17374598516934228,4.75,0,0.052168021680216795,0.04277129727819017,0.02269306172432945,0.128652538302622,21,439,""
"org.axonframework.messaging.commandhandling","commandhandling",0.6343112877526532,0.5464869187742107,31.666666666666664,0,0.39051490514905146,0.2978991294337722,0.161275008858126,0.09789785794279415,1148,297,""
"org.axonframework.messaging.commandhandling.annotation","annotation",0.16582404774402984,0.1628789037746348,240.34285714285713,0,0.287940379403794,0.26298907520325204,0.02905811709494492,0.14730707476161434,13,437,""
"org.axonframework.messaging.commandhandling.interception","interception",0.1530781635565359,0.15292880343895152,0,0,0.03143631436314363,0.025328330206378986,0.007987903782514648,0.12032478084796026,6,499,""
"org.axonframework.messaging.commandhandling.gateway","gateway",0.15641043790755488,0.15592076782178393,0.3333333333333333,0,0.21815718157181574,0.19977805119297484,0.016417924682094978,0.10997190928633255,20,191,""
"org.axonframework.messaging.commandhandling.retry","retry",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.09783401542355682,0,168,""
"org.axonframework.messaging.commandhandling.tracing","tracing",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.09854754142570724,7,156,""
"org.axonframework.messaging.commandhandling.configuration","configuration",0.15000000000000002,0.15000000000000002,28.633333333333333,0,0.039566395663956644,0.0274390243902439,0.020524075385139274,0.08413250931694932,11,292,""
"org.axonframework.messaging.eventhandling","eventhandling",0.8977769206903278,0.6270716432965615,82.33333333333333,0,0.5176151761517616,0.45184700169149344,0.26330905840368585,0.12344040891416352,3260,699,""
"org.axonframework.messaging.eventhandling.annotation","annotation",0.17096051565180612,0.1665460285374868,242.35238095238094,0,0.2886178861788618,0.26716350496838304,0.02096292340508977,0.15714832533819384,16,642,""
