"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"react-router-7.18.1/react-router","react-router","centralityBetweenness",1195.3333333333335,""
"react-router-7.18.1/server","server","centralityBetweenness",517.5,""
"react-router-7.18.1/routeModules","routeModules","centralityBetweenness",346,""
"react-router-7.18.1/route-data","route-data","centralityBetweenness",344,""
"react-router-7.18.1/dom-export","dom-export","centralityBetweenness",335,""
"react-router-7.18.1/react-router","react-router","centralityBetweenness",298.5,""
"react-router-7.18.1/entry","entry","centralityBetweenness",257,""
"react-router-7.18.1/routes","routes","centralityBetweenness",159.83333333333334,""
"react-router-7.18.1/instrumentation","instrumentation","centralityBetweenness",142.5,""
"react-router-7.18.1/single-fetch","single-fetch","centralityBetweenness",138,""
"react-router-7.18.1/cookies","cookies","centralityBetweenness",115,""
"react-router-7.18.1/server","server","centralityBetweenness",112,""
"react-router-7.18.1/turbo-stream","turbo-stream","centralityBetweenness",106,""
"react-router-7.18.1/plugin","plugin","centralityBetweenness",104,""
"react-router-7.18.1/router","router","centralityBetweenness",94,""
"react-router-7.18.1/utils","utils","centralityBetweenness",92,""
"react-router-7.18.1/unflatten","unflatten","centralityBetweenness",82,""
"react-router-7.18.1/urls","urls","centralityBetweenness",68,""
"react-router-7.18.1/config","config","centralityBetweenness",62,""
"react-router-7.18.1/entry","entry","centralityBetweenness",55.833333333333336,""
"react-router-7.18.1/build","build","centralityBetweenness",40,""
"react-router-7.18.1/commands","commands","centralityBetweenness",39,""
"react-router-7.18.1/build","build","centralityBetweenness",38,""
"react-router-7.18.1/route-module","route-module","centralityBetweenness",37,""
"react-router-7.18.1/serverHandoff","serverHandoff","centralityBetweenness",36,""
"react-router-7.18.1/react-router","react-router","centralityBetweenness",35,""
"react-router-7.18.1/memoryStorage","memoryStorage","centralityBetweenness",34,""
"react-router-7.18.1/history","history","centralityBetweenness",30,""
"react-router-7.18.1/data","data","centralityBetweenness",27,""
"react-router-7.18.1/headers","headers","centralityBetweenness",25.5,""
"react-router-7.18.1/typegen","typegen","centralityBetweenness",24,""
"react-router-7.18.1/vite-node","vite-node","centralityBetweenness",20,""
"react-router-7.18.1/context","context","centralityBetweenness",18,""
"react-router-7.18.1/generate","generate","centralityBetweenness",15,""
"react-router-7.18.1/routes","routes","centralityBetweenness",15,""
"react-router-7.18.1/optimize-deps-entries","optimize-deps-entries","centralityBetweenness",11.5,""
"react-router-7.18.1/vite","vite","centralityBetweenness",11.5,""
"react-router-7.18.1/config","config","centralityBetweenness",9,""
"react-router-7.18.1/resolve-relative-route-file-path","resolve-relative-route-file-path","centralityBetweenness",7,""
"react-router-7.18.1/ssr-externals","ssr-externals","centralityBetweenness",6.5,""
"react-router-7.18.1/prompt","prompt","centralityBetweenness",5,""
"react-router-7.18.1/prompts-multi-select","prompts-multi-select","centralityBetweenness",3,""
"react-router-7.18.1/styles","styles","centralityBetweenness",2.5,""
"react-router-7.18.1/has-rsc-plugin","has-rsc-plugin","centralityBetweenness",2,""
"react-router-7.18.1/react-router-node","react-router-node","centralityBetweenness",2,""
"react-router-7.18.1/resolve-file-url","resolve-file-url","centralityBetweenness",2,""
"react-router-7.18.1/sessions","sessions","centralityBetweenness",2,""
"react-router-7.18.1/copy-template","copy-template","centralityBetweenness",1,""
"react-router-7.18.1/prompts-select","prompts-select","centralityBetweenness",1,""
"react-router-7.18.1/react-router-architect","react-router-architect","centralityBetweenness",1,""
"react-router-7.18.1/react-router-cloudflare","react-router-cloudflare","centralityBetweenness",1,""
"react-router-7.18.1/server","server","centralityBetweenness",1,""
"react-router-7.18.1/virtual-route-config","virtual-route-config","centralityBetweenness",1,""
"react-router-7.18.1/virtual-route-modules","virtual-route-modules","centralityBetweenness",1,""
"react-router-7.18.1/actions","actions","centralityBetweenness",0,""
"react-router-7.18.1/arcTableSessionStorage","arcTableSessionStorage","centralityBetweenness",0,""
"react-router-7.18.1/babel","babel","centralityBetweenness",0,""
"react-router-7.18.1/binaryTypes","binaryTypes","centralityBetweenness",0,""
"react-router-7.18.1/browser","browser","centralityBetweenness",0,""
"react-router-7.18.1/cache","cache","centralityBetweenness",0,""
"react-router-7.18.1/cli","cli","centralityBetweenness",0,""
"react-router-7.18.1/cloudflare-dev-proxy","cloudflare-dev-proxy","centralityBetweenness",0,""
"react-router-7.18.1/combine-urls","combine-urls","centralityBetweenness",0,""
"react-router-7.18.1/context","context","centralityBetweenness",0,""
"react-router-7.18.1/cookieStorage","cookieStorage","centralityBetweenness",0,""
"react-router-7.18.1/create-react-router","create-react-router","centralityBetweenness",0,""
"react-router-7.18.1/crypto","crypto","centralityBetweenness",0,""
"react-router-7.18.1/defineRoutes","defineRoutes","centralityBetweenness",0,""
"react-router-7.18.1/detectPackageManager","detectPackageManager","centralityBetweenness",0,""
"react-router-7.18.1/dev","dev","centralityBetweenness",0,""
"react-router-7.18.1/dom","dom","centralityBetweenness",0,""
"react-router-7.18.1/errors","errors","centralityBetweenness",0,""
"react-router-7.18.1/fileStorage","fileStorage","centralityBetweenness",0,""
"react-router-7.18.1/flatRoutes","flatRoutes","centralityBetweenness",0,""
"react-router-7.18.1/flatten","flatten","centralityBetweenness",0,""
"react-router-7.18.1/fog-of-war","fog-of-war","centralityBetweenness",0,""
"react-router-7.18.1/format","format","centralityBetweenness",0,""
"react-router-7.18.1/future","future","centralityBetweenness",0,""
"react-router-7.18.1/has-dependency","has-dependency","centralityBetweenness",0,""
"react-router-7.18.1/href","href","centralityBetweenness",0,""
"react-router-7.18.1/is-react-router-repo","is-react-router-repo","centralityBetweenness",0,""
"react-router-7.18.1/links","links","centralityBetweenness",0,""
"react-router-7.18.1/load-dotenv","load-dotenv","centralityBetweenness",0,""
"react-router-7.18.1/loading-indicator","loading-indicator","centralityBetweenness",0,""
"react-router-7.18.1/manifest","manifest","centralityBetweenness",0,""
"react-router-7.18.1/markup","markup","centralityBetweenness",0,""
"react-router-7.18.1/mode","mode","centralityBetweenness",0,""
"react-router-7.18.1/node-adapter","node-adapter","centralityBetweenness",0,""
"react-router-7.18.1/normalizeSlashes","normalizeSlashes","centralityBetweenness",0,""
"react-router-7.18.1/params","params","centralityBetweenness",0,""
"react-router-7.18.1/plugin","plugin","centralityBetweenness",0,""
"react-router-7.18.1/prerender","prerender","centralityBetweenness",0,""
"react-router-7.18.1/profiler","profiler","centralityBetweenness",0,""
"react-router-7.18.1/prompts-confirm","prompts-confirm","centralityBetweenness",0,""
"react-router-7.18.1/prompts-prompt-base","prompts-prompt-base","centralityBetweenness",0,""
"react-router-7.18.1/prompts-text","prompts-text","centralityBetweenness",0,""
"react-router-7.18.1/react-router-express","react-router-express","centralityBetweenness",0,""
"react-router-7.18.1/react-router-fs-routes","react-router-fs-routes","centralityBetweenness",0,""
"react-router-7.18.1/register","register","centralityBetweenness",0,""
"react-router-7.18.1/remove-exports","remove-exports","centralityBetweenness",0,""
"react-router-7.18.1/route","route","centralityBetweenness",0,""
"react-router-7.18.1/route-chunks","route-chunks","centralityBetweenness",0,""
"react-router-7.18.1/route-module-annotations","route-module-annotations","centralityBetweenness",0,""
"react-router-7.18.1/routeMatching","routeMatching","centralityBetweenness",0,""
"react-router-7.18.1/routes","routes","centralityBetweenness",0,""
"react-router-7.18.1/run","run","centralityBetweenness",0,""
"react-router-7.18.1/serializes-to","serializes-to","centralityBetweenness",0,""
"react-router-7.18.1/server","server","centralityBetweenness",0,""
"react-router-7.18.1/stream","stream","centralityBetweenness",0,""
"react-router-7.18.1/tsup","tsup","centralityBetweenness",0,""
"react-router-7.18.1/url","url","centralityBetweenness",0,""
"react-router-7.18.1/useJavascript","useJavascript","centralityBetweenness",0,""
"react-router-7.18.1/utils","utils","centralityBetweenness",0,""
"react-router-7.18.1/validate-plugin-order","validate-plugin-order","centralityBetweenness",0,""
"react-router-7.18.1/virtual-module","virtual-module","centralityBetweenness",0,""
"react-router-7.18.1/warn-on-client-source-maps","warn-on-client-source-maps","centralityBetweenness",0,""
"react-router-7.18.1/warnings","warnings","centralityBetweenness",0,""
"react-router-7.18.1/with-props","with-props","centralityBetweenness",0,""
"react-router-7.18.1/worker","worker","centralityBetweenness",0,""
"react-router-7.18.1/workersKVStorage","workersKVStorage","centralityBetweenness",0,""
