"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-messaging-4.11.2",4,"java,lifecycle,timeout,attributes",""
0,"axon-server-connector-4.11.2",11,"connector,processor,util,heartbeat,source,checker,query,subscription,axon,command",""
0,"axon-spring-boot-autoconfigure-4.11.2",9,"actuator,axonserver,springboot,connection,autoconfig,legacyjpa,util,jpa",""
0,"axon-test-4.11.2",1,"server",""
1,"axon-messaging-4.11.2",15,"dbscheduler,deadline,jobrunr,quartz,interceptors,replay,messaging,correlation,legacyvalidation,responsetypes,unitofwork,queryhandling,registration,tracing",""
1,"axon-tracing-opentelemetry-4.11.2",1,"opentelemetry",""
2,"axon-disruptor-4.11.2",1,"commandhandling",""
2,"axon-eventsourcing-4.11.2",2,"eventsourcing,conflictresolution",""
2,"axon-messaging-4.11.2",14,"commandhandling,callbacks,distributed,gateway,commandfilter,common,caching,annotation,digest,lock,property",""
2,"axon-modelling-4.11.2",3,"command,inspection,legacyjpa",""
4,"axon-modelling-4.11.2",1,"inmemory",""
4,"axon-test-4.11.2",7,"test,deadline,eventscheduler,saga,utils,aggregate,matchers",""
5,"axon-configuration-4.11.2",1,"config",""
5,"axon-eventsourcing-4.11.2",7,"eventstore,inmemory,jdbc,statements,jpa,legacyjpa,snapshotting",""
5,"axon-messaging-4.11.2",10,"io,stream,transaction,eventhandling,async,deadletter,gateway,pooled,monitoring,util",""
