"codeUnitName","shortCodeUnitName","projectName","pageToArticleRankSign","pageToArticleRankDifferenceZScore","pageToArticleRankDifference","pageRank","articleRank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPotentialImbalancedRoles.cypher"
"org.axonframework.serialization.SerializedType","SerializedType","axon-messaging-4.12.1",1,23.877250589484998,66.47285493258633,69.23378979719622,2.7609348646098946,""
"org.axonframework.serialization.SimpleSerializedType","SimpleSerializedType","axon-messaging-4.12.1",1,21.104507963332765,58.79146964282636,59.54325422177987,0.7517845789535104,""
"org.axonframework.messaging.Message","Message","axon-messaging-4.12.1",1,10.89562227152864,30.509585980696723,41.04422037196335,10.534634391266625,""
"org.axonframework.messaging.MetaData","MetaData","axon-messaging-4.12.1",1,9.222617454281073,25.874826709607603,28.980766664317827,3.1059399547102235,""
"org.axonframework.serialization.SerializedObject","SerializedObject","axon-messaging-4.12.1",1,7.286910958420585,20.51229963538387,25.04298014309192,4.530680507708051,""
"org.axonframework.common.Assert","Assert","axon-messaging-4.12.1",1,6.562611455494577,18.50575799149642,20.356428149863543,1.8506701583671221,""
"org.axonframework.serialization.Serializer","Serializer","axon-messaging-4.12.1",1,6.511926091152743,18.365343295812323,24.025898201164846,5.660554905352523,""
"org.axonframework.messaging.MetaData$MetaDataCollector","MetaData$MetaDataCollector","axon-messaging-4.12.1",1,6.228246905416017,17.579461078048368,18.623845011945537,1.0443839338971683,""
"org.axonframework.common.AxonException","AxonException","axon-messaging-4.12.1",1,4.7006545505505715,13.347540908920852,15.74091466797916,2.393373759058309,""
"org.axonframework.messaging.MetaData$1","MetaData$1","axon-messaging-4.12.1",1,4.218284138420499,12.011220345662066,12.639498147540518,0.6282778018784518,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-messaging-4.12.1",1,2.9327077432485744,8.449761911836948,10.685112467685185,2.2353505558482363,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema","EventSchema","axon-eventsourcing-4.12.1",1,2.78178005282086,8.031643861450961,9.75592704444389,1.7242831829929293,""
"org.axonframework.eventhandling.EventMessage","EventMessage","axon-messaging-4.12.1",1,2.4616237205383844,7.1447082627326495,11.737469678941908,4.5927614162092585,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema$Builder","EventSchema$Builder","axon-eventsourcing-4.12.1",1,2.209665288852756,6.44670269505876,7.6882072133194255,1.2415045182606652,""
