"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: Topological_Sort/Topological_Sort_Query.cypher"
"org.axonframework.messaging.core.reflection","reflection",0,0,4,0,44,""
"org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",1,0,4,2,24,""
"org.axonframework.messaging.core.unitofwork.annotation","annotation",2,0,4,1,17,""
"org.axonframework.messaging.queryhandling.tracing","tracing",3,0,4,6,73,""
"org.axonframework.common.lock","lock",4,0,4,17,21,""
"org.axonframework.extension.tracing.opentelemetry","opentelemetry",5,0,4,5,37,""
"org.axonframework.eventsourcing.configuration","configuration",6,0,4,31,1237,""
"org.axonframework.common.caching","caching",7,0,4,22,43,""
"org.axonframework.common.digest","digest",8,0,4,0,1,""
"org.axonframework.test.extension","extension",9,0,4,5,11,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",10,0,4,1,30,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",11,0,4,13,160,""
"org.axonframework.messaging.commandhandling.retry","retry",12,0,4,0,168,""
"org.axonframework.messaging.commandhandling.tracing","tracing",13,0,4,7,156,""
"org.axonframework.conversion.converter","converter",14,0,4,0,7,""
"org.axonframework.messaging.eventhandling.tracing","tracing",15,0,4,6,135,""
"org.axonframework.extension.metrics.micrometer.springboot","springboot",16,0,4,5,14,""
"org.axonframework.messaging.tracing.attributes","attributes",17,0,4,0,28,""
"org.axonframework.messaging.eventhandling.replay.annotation","annotation",18,0,4,6,156,""
"org.axonframework.test.fixture","fixture",19,1,4,134,1079,""
"org.axonframework.test.util","util",20,2,4,23,164,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",21,1,4,12,397,""
"org.axonframework.modelling.configuration","configuration",22,1,4,36,585,""
"org.axonframework.messaging.tracing","tracing",23,1,4,136,68,""
"org.axonframework.test.matchers","matchers",24,2,4,35,47,""
"org.axonframework.extension.metrics.micrometer","micrometer",25,1,4,19,232,""
"org.axonframework.extension.springboot.autoconfig","autoconfig",26,1,4,60,714,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",27,2,4,17,1239,""
"org.axonframework.conversion.jackson2","jackson2",29,2,4,5,21,""
"org.axonframework.messaging.core.retry","retry",30,1,4,23,179,""
"org.axonframework.conversion.avro","avro",31,2,4,22,49,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",32,2,4,6,99,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir",33,2,4,2,0,""
"org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",34,2,4,4,24,""
"org.axonframework.update","update",35,2,4,10,93,""
"org.axonframework.common.jdbc","jdbc",36,3,4,21,19,""
"org.axonframework.extension.springboot","springboot",37,2,4,34,24,""
"org.axonframework.extension.springboot.service.connection","connection",38,2,4,5,6,""
"org.axonframework.extension.springboot.actuator.axonserver","axonserver",39,2,4,2,3,""
"org.axonframework.extension.springboot.util","util",40,2,4,9,7,""
"org.axonframework.extension.springboot.util.jpa","jpa",41,2,4,1,1,""
"org.axonframework.common.jpa","jpa",42,3,4,10,14,""
"org.axonframework.update.detection","detection",43,3,4,5,5,""
"org.axonframework.messaging.core.timeout","timeout",44,3,4,15,182,""
"org.axonframework.update.common","common",45,3,4,1,1,""
"org.axonframework.update.configuration","configuration",46,3,4,19,19,""
"org.axonframework.extension.springboot.actuator","actuator",47,3,4,2,0,""
"org.axonframework.test.server","server",48,3,4,3,2,""
"org.axonframework.update.api","api",49,4,4,18,11,""
"org.axonframework.test","test",119,3,4,8,13,""
