"projectName","shortCodeUnitName","codeUnitName","pageRank","articleRank","normalizedPageRankToArticleRankDifference","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeAuthority.cypher"
"axon-common-5.0.3","TypeReference","org.axonframework.common.TypeReference",55.72396354031646,6.230648582059333,0.3112355703400722,1,""
"axon-common-5.0.3","TypeReference$1","org.axonframework.common.TypeReference$1",23.83079016261318,1.6343220491208763,0.2579815885477767,2,""
"axon-common-5.0.3","TypeReference$2","org.axonframework.common.TypeReference$2",23.83079016261318,1.6343220491208763,0.2579815885477767,3,""
"axon-common-5.0.3","ComponentDescriptor","org.axonframework.common.infra.ComponentDescriptor",11.385080188798014,1.5516578759268294,0.04339651118278087,4,""
"axon-common-5.0.3","DescribableComponent","org.axonframework.common.infra.DescribableComponent",11.31302650402258,1.6292459864099784,0.033311449688727096,5,""
"axon-common-5.0.3","AxonException","org.axonframework.common.AxonException",9.657158706645296,1.5558839820208312,0.011825529191532486,6,""
"axon-messaging-5.0.3","Metadata","org.axonframework.messaging.core.Metadata",8.208688129171756,1.2429894737866005,0.021203737719602933,7,""
"axon-messaging-5.0.3","Metadata$MetadataCollector","org.axonframework.messaging.core.Metadata$MetadataCollector",7.126794383578237,0.5614266734871598,0.07893776883893425,8,""
"axon-common-5.0.3","StringUtils","org.axonframework.common.StringUtils",5.915759110232292,1.0193643033428093,0.005275053766445825,9,""
"axon-eventsourcing-5.0.3","Position","org.axonframework.eventsourcing.eventstore.Position",4.351715297037296,0.6969991666025416,0.013646385800144038,10,""
