"projectName","shortCodeUnitName","codeUnitName","pageRank","articleRank","normalizedPageRankToArticleRankDifference","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeAuthority.cypher"
"axon-common-5.0.3","TypeReference","org.axonframework.common.TypeReference",55.72396354031645,6.230648582059334,0.3112355703400723,1,""
"axon-common-5.0.3","TypeReference$1","org.axonframework.common.TypeReference$1",23.830790162613177,1.6343220491208768,0.25798158854777675,2,""
"axon-common-5.0.3","TypeReference$2","org.axonframework.common.TypeReference$2",23.830790162613177,1.6343220491208768,0.25798158854777675,3,""
"axon-common-5.0.3","ComponentDescriptor","org.axonframework.common.infra.ComponentDescriptor",11.38508018879802,1.5516578759268294,0.04339651118278104,4,""
"axon-common-5.0.3","DescribableComponent","org.axonframework.common.infra.DescribableComponent",11.31302650402258,1.6292459864099784,0.03331144968872715,5,""
"axon-common-5.0.3","AxonException","org.axonframework.common.AxonException",9.657158706645298,1.5558839820208314,0.011825529191532569,6,""
"axon-messaging-5.0.3","Metadata","org.axonframework.messaging.core.Metadata",8.20868812917176,1.242989473786601,0.021203737719603016,7,""
"axon-messaging-5.0.3","Metadata$MetadataCollector","org.axonframework.messaging.core.Metadata$MetadataCollector",7.12679438357824,0.5614266734871599,0.07893776883893432,8,""
"axon-common-5.0.3","StringUtils","org.axonframework.common.StringUtils",5.915759110232292,1.0193643033428093,0.005275053766445881,9,""
"axon-eventsourcing-5.0.3","Position","org.axonframework.eventsourcing.eventstore.Position",4.351715297037295,0.6969991666025417,0.013646385800144038,10,""
