"name","shortName","pageRank","articleRank","betweenness","costEffectiveLazyForward","harmonicCloseness","closeness","hyperlinkInducedTopicSearchAuthority","hyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_90_Summary.cypher"
"org.axonframework.modelling","modelling",0.22559383837862643,0.2154874861018627,89.16666666666666,0,0.12127976190476189,0.09603658536585366,0.05828250999368057,0.05828250999368057,125,182,""
"org.axonframework.modelling.annotation","annotation",0.1674796582061087,0.16527301401796132,108.16666666666666,0,0.09672619047619047,0.08203125,0.034676267489903136,0.034676267489903136,13,309,""
"org.axonframework.modelling.entity","entity",0.21335460365723605,0.20437287170867102,20.5,0,0.078125,0.056249999999999994,0.031690920984106793,0.031690920984106793,115,800,""
"org.axonframework.modelling.entity.annotation","annotation",0.168407964572291,0.1653017350336505,44,0,0.08110119047619047,0.06673728813559322,0.02376343795333603,0.02376343795333603,47,858,""
"org.axonframework.modelling.entity.child","child",0.19159999305601708,0.18857225673196507,1,0,0.06919642857142856,0.0546875,0.01717898813254676,0.01717898813254676,89,242,""
"org.axonframework.modelling.configuration","configuration",0.17179487179487182,0.1706900265670999,0,0,0.008928571428571428,0.008928571428571428,0.009453200039485346,0.009453200039485346,36,585,""
"org.axonframework.modelling.repository","repository",0.27738084619476444,0.25522049757167603,7.333333333333333,0,0.10639880952380952,0.0831043956043956,0.0400469039909346,0.0400469039909346,81,107,""
"org.axonframework.common","common",10.752701366010337,5.732229941160212,0,0,0.8125,0.7354188078108942,0.4338286371756932,0.4338286371756932,833,31,""
"org.axonframework.common.io","io",0.37754922528108265,0.2007170630389551,0,0,0.23348214285714283,0.21370781322237636,0.009370378126156561,0.009370378126156561,2,0,""
"org.axonframework.common.annotation","annotation",1.8377532512493233,1.0860916000891034,21.23333333333333,0,0.665922619047619,0.5833928571428572,0.32123154402436443,0.32123154402436443,1826,3,""
"org.axonframework.common.jdbc","jdbc",0.19319658840792373,0.1914721360926175,0.25,0,0.026785714285714284,0.026785714285714284,0.023502229577097862,0.023502229577097862,20,9,""
"org.axonframework.common.util","util",0.2655237988749892,0.2374489237539452,84,0,0.31473214285714285,0.28418030207677786,0.03177701618325159,0.03177701618325159,12,3,""
"org.axonframework.common.property","property",0.1774965516566635,0.17061809339137216,0,0,0.2614583333333333,0.23629644165358452,0.025774837174976122,0.025774837174976122,19,15,""
"org.axonframework.common.caching","caching",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,22,43,""
"org.axonframework.common.digest","digest",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,0,1,""
"org.axonframework.common.infra","infra",0.8224159956455646,0.5611044202328559,40.783333333333324,0,0.5625000000000001,0.47093949044585987,0.272341047817281,0.272341047817281,1212,27,""
"org.axonframework.common.lifecycle","lifecycle",0.26016012425250373,0.22869201283877305,1.3333333333333333,0,0.3363095238095238,0.3135743924125666,0.01854500191294712,0.01854500191294712,8,4,""
"org.axonframework.common.lock","lock",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,17,21,""
"org.axonframework.common.jpa","jpa",0.15707169735434773,0.15664980377425203,3.75,0,0.03571428571428571,0.03571428571428571,0.023585635325139853,0.023585635325139853,8,3,""
"org.axonframework.common.configuration","configuration",1.3748421572017113,0.9409428562567015,98.66666666666666,0,0.5416666666666666,0.4832516339869281,0.2197549227359969,0.2197549227359969,3297,270,""
"org.axonframework.extension.metrics.micrometer","micrometer",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,18,202,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0.17318181818181821,0.17117711905928468,0,0,0.008928571428571428,0.008928571428571428,0.006171203888586649,0.006171203888586649,2,0,""
"org.axonframework.conversion","conversion",1.3597060667440126,0.9673820392604865,12.5,0,0.45684523809523814,0.40912933220625525,0.1099443228734852,0.1099443228734852,426,21,""
"org.axonframework.conversion.converter","converter",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,0,7,""
"org.axonframework.conversion.avro","avro",0.15271276595744684,0.15264251127985035,0,0,0.008928571428571428,0.008928571428571428,0.008956656597102866,0.008956656597102866,22,49,""
"org.axonframework.conversion.json","json",0.1548513924229725,0.15468700081318326,0,0,0.048660714285714286,0.0330188679245283,0.01773958564075808,0.01773958564075808,7,21,""
"org.axonframework.messaging.monitoring","monitoring",0.28104805989465664,0.266825320331575,64.33333333333334,0,0.1056547619047619,0.07495847176079734,0.06370223522915296,0.06370223522915296,56,22,""
"org.axonframework.messaging.monitoring.interception","interception",0.16596073274036288,0.16515987277362856,0,0,0.0412202380952381,0.03017241379310345,0.008782929043655215,0.008782929043655215,5,500,""
"org.axonframework.messaging.monitoring.configuration","configuration",0.15990767585290255,0.15935455793267114,4.666666666666666,0,0.05163690476190476,0.03723404255319149,0.018615983098420386,0.018615983098420386,17,377,""
"org.axonframework.messaging.commandhandling","commandhandling",0.6365671045631868,0.5549892782103754,6.5,0,0.3882440476190476,0.27391304347826084,0.17706077847106247,0.17706077847106247,1426,343,""
"org.axonframework.messaging.commandhandling.distributed","distributed",0.1672593862686367,0.16445996642420097,17,0,0.049107142857142856,0.04395604395604396,0.023655777777079032,0.023655777777079032,31,312,""
"org.axonframework.messaging.commandhandling.annotation","annotation",0.17129852939234816,0.16750936896121985,303.9,0,0.30431547619047616,0.27391304347826084,0.039667630839041096,0.039667630839041096,16,386,""
"org.axonframework.messaging.commandhandling.interception","interception",0.15159607327403632,0.15151598727736287,0,0,0.0412202380952381,0.03017241379310345,0.008782929043655215,0.008782929043655215,5,436,""
"org.axonframework.messaging.commandhandling.gateway","gateway",0.15623024030469818,0.15578838707453796,0.8333333333333333,0,0.22738095238095238,0.20655737704918034,0.01706253589655368,0.01706253589655368,20,191,""
"org.axonframework.messaging.commandhandling.retry","retry",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,0,168,""
"org.axonframework.messaging.commandhandling.tracing","tracing",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,7,156,""
"org.axonframework.messaging.commandhandling.configuration","configuration",0.15000000000000002,0.15000000000000002,53.16666666666667,0,0.050148809523809526,0.03125,0.021856103200628665,0.021856103200628665,11,244,""
"org.axonframework.messaging.eventhandling","eventhandling",0.7438490983278011,0.5926547886114603,121.83333333333333,0,0.525297619047619,0.45323741007194246,0.2649161488229748,0.2649161488229748,3209,438,""
"org.axonframework.messaging.eventhandling.annotation","annotation",0.1676364251389652,0.16355766036608776,297.65000000000003,0,0.296875,0.2727272727272727,0.022384276680900695,0.022384276680900695,20,459,""
"org.axonframework.messaging.eventhandling.replay","replay",0.18785688305959214,0.18016055803460992,0,0,0.04642857142857143,0.032402073732718896,0.01610551719260378,0.01610551719260378,5,29,""
"org.axonframework.messaging.eventhandling.replay.annotation","annotation",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,6,114,""
"org.axonframework.messaging.eventhandling.interception","interception",0.15378898292654972,0.15355120433281888,0,0,0.05133928571428571,0.040697674418604654,0.019404530619665957,0.019404530619665957,4,201,""
"org.axonframework.messaging.eventhandling.gateway","gateway",0.15325294448518875,0.15302305834426824,0,0,0.2244047619047619,0.20521172638436483,0.017768469658326683,0.017768469658326683,9,97,""
"org.axonframework.messaging.eventhandling.sequencing","sequencing",0.20329074499592212,0.190826444489316,137,0,0.3251488095238095,0.3014354066985646,0.023015135515932473,0.023015135515932473,18,78,""
"org.axonframework.messaging.eventhandling.conversion","conversion",0.16767219731866784,0.1664795608176735,89.25,0,0.30461309523809516,0.25506072874493924,0.090205249029854,0.090205249029854,18,35,""
"org.axonframework.messaging.eventhandling.processing","processing",0.23835210842108662,0.19451362139696643,28.333333333333332,0,0.08854166666666666,0.06790413533834586,0.03928631496103458,0.03928631496103458,12,62,""
"org.axonframework.messaging.eventhandling.processing.streaming","streaming",0.153314703173209,0.15315471523995888,25.166666666666664,0,0.05580357142857142,0.0472972972972973,0.020311563614954266,0.020311563614954266,4,16,""
"org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.615972983507377,0.47377743353615975,141.16666666666666,0,0.19866071428571427,0.15682603686635943,0.09423782791020573,0.09423782791020573,425,16,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,1,30,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",0.2584674156769697,0.24950678559333353,10.5,0,0.08854166666666666,0.06790413533834586,0.04329094794321461,0.04329094794321461,28,10,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",0.15066938305959213,0.15065426780640628,0,0,0.0375,0.028688524590163935,0.010143458414511619,0.010143458414511619,3,31,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,13,160,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",0.15217021276595746,0.15211400902388028,0,0,0.008928571428571428,0.008928571428571428,0.008956656597102866,0.008956656597102866,6,85,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",0.16734578534448946,0.16597159391271174,47.5,2.3599999999999994,0.041220238095238095,0.0321048632218845,0.009833054054765169,0.009833054054765169,60,2346,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",0.49190029227540044,0.4003135348748587,36,0,0.12574404761904762,0.09821428571428571,0.05566588220863687,0.05566588220863687,86,211,""
"org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",0.17066048851769838,0.1691263091526706,172.5,0,0.05654761904761905,0.048675115207373276,0.020001159255207818,0.020001159255207818,14,737,""
"org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",0.1643967869100969,0.16340669439226516,9,0,0.05952380952380952,0.04487179487179487,0.029237584674431126,0.029237584674431126,13,8,""
"org.axonframework.messaging.eventhandling.tracing","tracing",0.1712004043099315,0.16952083700442547,19.5,0,0.05952380952380952,0.04487179487179487,0.029237584674431126,0.029237584674431126,11,135,""
"org.axonframework.messaging.eventhandling.configuration","configuration",0.2154052354103913,0.2113841239578171,185,0,0.06101190476190477,0.04311224489795919,0.037640659702806514,0.037640659702806514,85,398,""
"org.axonframework.messaging.eventstreaming","eventstreaming",0.284214764298168,0.26866531637428137,57.5,0,0.12574404761904762,0.09821428571428571,0.06631591384435807,0.06631591384435807,283,105,""
"org.axonframework.messaging.queryhandling","queryhandling",0.4840075016283159,0.43634461124568236,73.33333333333333,0,0.3175595238095238,0.23954372623574144,0.10097375021386212,0.10097375021386212,697,546,""
"org.axonframework.messaging.queryhandling.distributed","distributed",0.16706339448926452,0.16446379716766388,18,0,0.049107142857142856,0.04395604395604396,0.023386711651846446,0.023386711651846446,38,513,""
"org.axonframework.messaging.queryhandling.annotation","annotation",0.16414808511335696,0.1610682624490502,145.65,0,0.28794642857142855,0.2680851063829787,0.011336114294558927,0.011336114294558927,5,340,""
"org.axonframework.messaging.queryhandling.interception","interception",0.15159607327403632,0.15151598727736287,0,0,0.0412202380952381,0.03017241379310345,0.008782929043655215,0.008782929043655215,8,491,""
"org.axonframework.messaging.queryhandling.gateway","gateway",0.15159607327403632,0.15151598727736287,0,0,0.0412202380952381,0.03017241379310345,0.008782929043655215,0.008782929043655215,3,205,""
"org.axonframework.messaging.queryhandling.tracing","tracing",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,6,73,""
"org.axonframework.messaging.queryhandling.configuration","configuration",0.15000000000000002,0.15000000000000002,8.666666666666666,0,0.050148809523809526,0.03125,0.021856103200628665,0.021856103200628665,11,252,""
"org.axonframework.messaging.core","core",5.861361514464885,4.295277873539893,944.6666666666666,0,0.6785714285714286,0.63,0.4455819305926862,0.4455819305926862,10952,341,""
"org.axonframework.messaging.core.annotation","annotation",0.9754342606921774,0.7264589981473073,1070.5333333333333,0,0.4642857142857143,0.40909090909090906,0.15355577906546014,0.15355577906546014,480,450,""
"org.axonframework.messaging.core.reflection","reflection",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,0,44,""
"org.axonframework.messaging.core.interception","interception",0.17756387797536194,0.17621647327171952,11,0,0.06324404761904763,0.041666666666666664,0.0370258397350086,0.0370258397350086,38,1084,""
"org.axonframework.messaging.core.interception.annotation","annotation",0.1753459858581285,0.16839594409902922,0,0,0.30282738095238093,0.2727272727272727,0.038455319496765096,0.038455319496765096,21,234,""
"org.axonframework.messaging.core.correlation","correlation",0.15845586520254962,0.15806152542270635,15.5,0,0.05758928571428572,0.03720238095238095,0.0271097892833056,0.0271097892833056,15,82,""
"org.axonframework.messaging.core.conversion","conversion",0.26481598767048675,0.22211066447246147,297.86666666666673,0,0.34776785714285713,0.2703862660944206,0.11139479222732446,0.11139479222732446,64,21,""
"org.axonframework.messaging.core.retry","retry",0.16062500000000002,0.15698714839961206,0,0,0.008928571428571428,0.008928571428571428,0.006100489512818618,0.006100489512818618,23,179,""
"org.axonframework.messaging.core.unitofwork","unitofwork",1.6555315172399838,1.195187577053851,215.28333333333333,0,0.6354166666666667,0.5675675675675675,0.39629557909802415,0.39629557909802415,11695,128,""
"org.axonframework.messaging.core.unitofwork.annotation","annotation",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,1,17,""
"org.axonframework.messaging.core.unitofwork.transaction","transaction",0.1941747011454341,0.18065068482178576,0,0,0.35863095238095244,0.3351063829787234,0.03219563811650356,0.03219563811650356,17,39,""
"org.axonframework.messaging.core.timeout","timeout",0.31227426861702134,0.29400544117126975,0,0,0.017857142857142856,0.017857142857142856,0.009115771973392143,0.009115771973392143,15,182,""
"org.axonframework.messaging.core.configuration","configuration",0.19152886657809906,0.1874900263097176,106,3.3900000000000006,0.05163690476190476,0.034293831168831175,0.022906228211738617,0.022906228211738617,4,2549,""
"org.axonframework.messaging.core.configuration.reflection","reflection",0.17680201866985062,0.16733449107433673,17.799999999999994,0,0.2505952380952381,0.21575342465753422,0.035380687896811126,0.035380687896811126,8,36,""
"org.axonframework.messaging.tracing","tracing",0.3576466981371472,0.3043746807746657,19,0,0.09032738095238094,0.059689153439153445,0.02999315948109293,0.02999315948109293,137,68,""
"org.axonframework.messaging.tracing.attributes","attributes",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,0,28,""
"org.axonframework.update","update",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,7,91,""
"org.axonframework.update.detection","detection",0.16075301204819278,0.16000024789291029,1,0,0.008928571428571428,0.008928571428571428,0.001937685395928962,0.001937685395928962,4,5,""
"org.axonframework.update.common","common",0.1576807228915663,0.15714303420922163,0,0,0.008928571428571428,0.008928571428571428,0.001937685395928962,0.001937685395928962,1,1,""
"org.axonframework.update.api","api",0.3317259036144579,0.29391156238894717,0,0,0.017857142857142856,0.017857142857142856,0.0030805069036974647,0.0030805069036974647,18,11,""
"org.axonframework.update.configuration","configuration",0.1546084337349398,0.154285820525533,0,0,0.008928571428571428,0.008928571428571428,0.001937685395928962,0.001937685395928962,15,19,""
"org.axonframework.extension.springboot","springboot",0.18797872340425534,0.18699515791790472,0,0,0.008928571428571428,0.008928571428571428,0.008956656597102866,0.008956656597102866,31,21,""
"org.axonframework.extension.springboot.service.connection","connection",0.15054255319148938,0.1505285022559701,1,0,0.008928571428571428,0.008928571428571428,0.008956656597102866,0.008956656597102866,5,6,""
"org.axonframework.extension.springboot.actuator","actuator",0.20229127659574472,0.17323027300047442,0,0,0.013392857142857142,0.011904761904761904,0.00012744200251162165,0.00012744200251162165,2,0,""
"org.axonframework.extension.springboot.actuator.axonserver","axonserver",0.15379787234042555,0.1536995157917905,26,0,0.008928571428571428,0.008928571428571428,0.008956656597102866,0.008956656597102866,2,3,""
"org.axonframework.extension.springboot.autoconfig","autoconfig",0.15000000000000002,0.15000000000000002,0,4.39,0,0,0,0,42,605,""
"org.axonframework.extension.springboot.util","util",0.15108510638297876,0.15105700451194015,0,0,0.008928571428571428,0.008928571428571428,0.008956656597102866,0.008956656597102866,9,7,""
"org.axonframework.extension.springboot.util.jpa","jpa",0.15108510638297876,0.15105700451194015,0,0,0.008928571428571428,0.008928571428571428,0.008956656597102866,0.008956656597102866,1,1,""
"org.axonframework.extension.tracing.opentelemetry","opentelemetry",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,5,37,""
"org.axonframework.axonserver.connector","connector",0.3477980175101032,0.28529351771053835,324.5,0,0.0625,0.0625,0.0360382907282514,0.0360382907282514,59,344,""
"org.axonframework.axonserver.connector.util","util",0.17702421664604437,0.17384654859009166,41,0,0.044642857142857144,0.03977272727272727,0.021994219150782566,0.021994219150782566,20,17,""
"org.axonframework.axonserver.connector.query","query",0.1750836145961832,0.16982502786793693,0,0,0.03571428571428571,0.03365384615384615,0.007134957083937181,0.007134957083937181,20,226,""
"org.axonframework.axonserver.connector.event","event",0.1661251808118321,0.1627446607722452,182,2.09,0.03571428571428571,0.03365384615384615,0.007134957083937181,0.007134957083937181,18,1228,""
"org.axonframework.axonserver.connector.command","command",0.17866698810992368,0.1726571747062136,0,0,0.03571428571428571,0.03365384615384615,0.007134957083937181,0.007134957083937181,8,128,""
"org.axonframework.test","test",0.2150652378709374,0.20456647854739568,9.833333333333332,0,0.017857142857142856,0.017857142857142856,0.014546180059977295,0.014546180059977295,7,13,""
"org.axonframework.test.fixture","fixture",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0,132,931,""
"org.axonframework.test.util","util",0.15264248704663214,0.15255962691538977,2,0,0.008928571428571428,0.008928571428571428,0.009838572888078687,0.009838572888078687,23,164,""
"org.axonframework.test.server","server",0.277961170212766,0.22184229884067544,1,0,0.013392857142857142,0.011904761904761904,1.6226594120404215e-49,1.6226594120404215e-49,3,2,""
"org.axonframework.test.matchers","matchers",0.1645336787564767,0.1640779480346436,1,0,0.008928571428571428,0.008928571428571428,0.009838572888078687,0.009838572888078687,35,47,""
"org.axonframework.eventsourcing","eventsourcing",0.16439798905024072,0.1619932069864731,26,0,0.060267857142857144,0.046719269102990034,0.024242255384231547,0.024242255384231547,34,185,""
"org.axonframework.eventsourcing.annotation","annotation",0.1664370886690433,0.16506187146854548,88.33333333333333,0,0.07291666666666666,0.06277901785714285,0.026002407741613207,0.026002407741613207,17,95,""
"org.axonframework.eventsourcing.annotation.reflection","reflection",0.15785952751177917,0.15578619901634314,6.833333333333333,0,0.04985119047619047,0.04367236024844721,0.006417786734616644,0.006417786734616644,8,190,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.32708616697133835,0.31000947222147496,60.5,0,0.10267857142857142,0.09131493506493506,0.06622118306415625,0.06622118306415625,223,705,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.1521794871794872,0.15206900265671,0,0,0.008928571428571428,0.008928571428571428,0.009453200039485346,0.009453200039485346,12,410,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.15813829787234046,0.15792753383955102,0,0,0.008928571428571428,0.008928571428571428,0.008956656597102866,0.008956656597102866,17,1260,""
"org.axonframework.eventsourcing.configuration","configuration",0.15000000000000002,0.15000000000000002,0,6.79,0,0,0,0,31,1237,""
