"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-common-5.0.3","jakarta.annotation",70,377,156,"Nonnull,Nullable",""
"axon-common-5.0.3","org.slf4j",14,49,156,"Logger,LoggerFactory",""
"axon-common-5.0.3","javax.cache.event",8,26,156,"CacheEntryExpiredListener,CacheEntryCreatedListener,CacheEntryEventFilter,CacheEntryEvent,CacheEntryListenerException,CacheEntryListener,CacheEntryUpdatedListener,CacheEntryRemovedListener",""
"axon-common-5.0.3","org.ehcache.event",8,30,156,"EventType,CacheEventListener,CacheEvent,EventOrdering,EventFiring",""
"axon-common-5.0.3","jakarta.persistence",5,11,156,"EntityManager,EntityManagerFactory",""
"axon-common-5.0.3","com.fasterxml.jackson.databind",3,14,156,"ObjectMapper,SerializationFeature,JsonNode",""
"axon-common-5.0.3","javax.cache.configuration",3,9,156,"CacheEntryListenerConfiguration,Factory",""
"axon-common-5.0.3","com.fasterxml.jackson.databind.node",2,16,156,"ObjectNode,ArrayNode",""
"axon-common-5.0.3","javax.cache",1,13,156,"Cache",""
"axon-common-5.0.3","org.ehcache.config",1,2,156,"CacheRuntimeConfiguration",""
"axon-common-5.0.3","org.ehcache.core",1,13,156,"Ehcache",""
"axon-conversion-5.0.3","jakarta.annotation",54,229,35,"Nonnull,Nullable",""
"axon-conversion-5.0.3","org.apache.avro",16,54,35,"AvroRuntimeException,SchemaCompatibility$Incompatibility,Schema,SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility$SchemaIncompatibilityType,SchemaNormalization,InvalidNumberEncodingException,SchemaCompatibility,InvalidAvroMagicException,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaCompatibilityResult",""
"axon-conversion-5.0.3","com.fasterxml.jackson.databind",8,42,35,"ObjectMapper,JsonNode,JavaType",""
"axon-conversion-5.0.3","org.apache.avro.message",8,28,35,"BinaryMessageEncoder,SchemaStore,BinaryMessageDecoder,BadHeaderException",""
"axon-conversion-5.0.3","org.slf4j",8,39,35,"Logger,LoggerFactory",""
"axon-conversion-5.0.3","tools.jackson.databind",8,39,35,"JsonNode,ObjectMapper,JavaType",""
"axon-conversion-5.0.3","org.apache.avro.generic",7,29,35,"GenericRecord,GenericDatumReader,GenericData",""
"axon-conversion-5.0.3","org.apache.avro.specific",4,14,35,"SpecificRecordBase,SpecificData",""
"axon-conversion-5.0.3","com.fasterxml.jackson.databind.node",3,12,35,"JsonNodeType,ObjectNode",""
"axon-conversion-5.0.3","tools.jackson.core",3,6,35,"JacksonException",""
"axon-conversion-5.0.3","tools.jackson.databind.node",3,12,35,"JsonNodeType,ObjectNode",""
"axon-conversion-5.0.3","tools.jackson.databind.json",2,5,35,"JsonMapper,JsonMapper$Builder",""
"axon-conversion-5.0.3","com.fasterxml.jackson.core",1,1,35,"JsonProcessingException",""
"axon-conversion-5.0.3","org.apache.avro.io",1,3,35,"DecoderFactory",""
"axon-conversion-5.0.3","org.apache.commons.lang3.tuple",1,4,35,"Pair",""
"axon-eventsourcing-5.0.3","jakarta.annotation",73,301,100,"Nonnull,Nullable",""
"axon-eventsourcing-5.0.3","jakarta.persistence",15,52,100,"EntityManager,TypedQuery,Index,Lob,Table,GenerationType,Entity,SequenceGenerator,GeneratedValue,Id,Column,Basic,EntityExistsException",""
"axon-eventsourcing-5.0.3","org.slf4j",10,30,100,"Logger,LoggerFactory",""
"axon-eventsourcing-5.0.3","IdTypeParameterResolver",1,1,100,"IdTypeParameterResolver",""
"axon-eventsourcing-5.0.3","ScannedEntityCreator",1,4,100,"ScannedEntityCreator",""
"axon-eventsourcing-5.0.3","WrappedEventCriteriaBuilderMethod",1,1,100,"WrappedEventCriteriaBuilderMethod",""
"axon-messaging-5.0.3","jakarta.annotation",512,2949,579,"Nonnull,Nullable",""
"axon-messaging-5.0.3","org.slf4j",56,204,579,"Logger,LoggerFactory",""
"axon-messaging-5.0.3","com.fasterxml.jackson.annotation",19,33,579,"JsonCreator,JsonProperty,JsonTypeInfo$Id,JsonGetter,JsonTypeInfo,JsonIgnore",""
"axon-messaging-5.0.3","jakarta.persistence",16,103,579,"EntityManagerFactory,EntityManager,TypedQuery,Query,LockModeType,EntityTransaction,Lob,Column,Basic,IdClass,Entity,Id",""
"axon-messaging-5.0.3","reactor.core.publisher",14,49,579,"Mono,Flux,FluxSink,MonoSink",""
"axon-messaging-5.0.3","org.reactivestreams",8,27,579,"Publisher,Subscription,Subscriber",""
"axon-messaging-5.0.3","jakarta.validation",5,16,579,"Validation,ValidatorFactory,ConstraintViolation,Validator",""
"axon-messaging-5.0.3","reactor.util.concurrent",2,4,579,"Queues",""
"axon-messaging-5.0.3","javax.annotation",1,1,579,"Nonnull",""
"axon-metrics-micrometer-5.0.3","io.micrometer.core.instrument",37,141,16,"Clock,MeterRegistry,Timer,Timer$Builder,Tag,Tags,Counter,Gauge$Builder,Gauge",""
"axon-metrics-micrometer-5.0.3","jakarta.annotation",7,11,16,"Nonnull",""
"axon-metrics-micrometer-5.0.3","org.springframework.boot.autoconfigure",3,3,16,"AutoConfigureAfter,AutoConfigureBefore,AutoConfiguration",""
"axon-metrics-micrometer-5.0.3","org.springframework.boot.autoconfigure.condition",3,6,16,"ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnProperty",""
"axon-metrics-micrometer-5.0.3","io.micrometer.core.instrument.simple",2,4,16,"SimpleMeterRegistry",""
"axon-metrics-micrometer-5.0.3","org.springframework.boot.context.properties",2,2,16,"EnableConfigurationProperties,ConfigurationProperties",""
"axon-metrics-micrometer-5.0.3","org.springframework.context.annotation",1,3,16,"Bean",""
"axon-modelling-5.0.3","jakarta.annotation",85,541,92,"Nonnull,Nullable",""
"axon-modelling-5.0.3","org.slf4j",4,17,92,"Logger,LoggerFactory",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc",40,271,72,"MetaDataValue$DataCase,ProcessingKey,ProcessingInstruction$Builder,MetaDataValue,MetaDataValue$Builder,ProcessingInstruction,ErrorMessage,ErrorMessage$Builder,SerializedObject$Builder,SerializedObject,InstructionAck$Builder,InstructionAck",""
"axon-server-connector-5.0.3","jakarta.annotation",31,181,72,"Nonnull,Nullable",""
