"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-disruptor-4.11.0",1,"commandhandling",""
0,"axon-eventsourcing-4.11.0",2,"eventsourcing,conflictresolution",""
0,"axon-messaging-4.11.0",16,"commandhandling,callbacks,distributed,commandfilter,gateway,common,annotation,caching,digest,lock,property,interceptors,unitofwork",""
0,"axon-modelling-4.11.0",3,"command,inspection,legacyjpa",""
1,"axon-messaging-4.11.0",11,"replay,java,lifecycle,messaging,correlation,interceptors,legacyvalidation,responsetypes,queryhandling,registration,tracing",""
1,"axon-server-connector-4.11.0",11,"connector,processor,util,heartbeat,source,checker,query,subscription,axon,command",""
1,"axon-tracing-opentelemetry-4.11.0",1,"opentelemetry",""
3,"axon-modelling-4.11.0",1,"inmemory",""
3,"axon-test-4.11.0",7,"test,deadline,eventscheduler,saga,utils,aggregate,matchers",""
4,"axon-configuration-4.11.0",1,"config",""
4,"axon-eventsourcing-4.11.0",7,"eventstore,inmemory,jdbc,statements,jpa,legacyjpa,snapshotting",""
4,"axon-messaging-4.11.0",10,"io,stream,transaction,eventhandling,async,deadletter,pooled,gateway,monitoring,util",""
5,"axon-messaging-4.11.0",2,"timeout,attributes",""
5,"axon-spring-boot-autoconfigure-4.11.0",9,"actuator,axonserver,springboot,connection,autoconfig,legacyjpa,util,jpa",""
5,"axon-test-4.11.0",1,"server",""
