"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","no namespace",129,229,4,133,25,3325,"ServerResponse.setHeader,ManifestChunk.file,DevEnvironment.reloadModule,EnvironmentOptions,loadConfigFromFile,ViteDevServer.ssrLoadModule,ManifestChunk.assets,Connect.Server.use,ResolvedConfig.logger,ResolvedId.id,ConfigEnv.isSsrBuild,cp,ViteBuilder.build,readFile,Hash.update,Dirent.name,readdir,ModuleNode.file,ResolvedConfig,PreviewServer,ResolvedConfig.build,ViteBuilder.environments,UserConfig.base,init,Logger.error,PluginContainer.buildStart,PluginContext.environment,ViteDevServer.pluginContainer,Logger.warn,PreviewServer.middlewares,Plugin,UserConfig.logLevel,ViteDevServer.config,ViteDevServer.ssrFixStacktrace,Connect.IncomingMessage.url,UserConfig.server,ResolvedBuildOptions.assetsDir,ViteDevServer.middlewares,picocolors,ResolvedConfig.server,ViteDevServer,createServer,ConfigEnv.mode,normalizePath,Logger.info,isRunnableDevEnvironment,ResolvedConfig.root,ResolvedServerOptions.middlewareMode,existsSync,defaultClientConditions,ResolvedConfig.configFile,ResolvedConfig.mode,Dirent.path,ViteDevServer.hot,Environment.name,UserConfig.environments,EnvironmentOptions.resolve,rmSync,rm,ViteDevServer.transformRequest,.pathToFileURL,Dirent.isFile,createHash,EnvironmentOptions.optimizeDeps,DevEnvironment.name,PluginContext.resolve,ViteDevServer.environments,HotUpdatePluginContext.environment,URL.href,ServerResponse.end,UserConfig.root,RunnableDevEnvironment.runner,Environment.config,DevEnvironment.moduleGraph,readdirSync,createLogger,rename,mkdir,UserConfig.plugins,ManifestChunk.css,ModuleRunner.import,Hash.digest,ModuleNode.url,Plugin.name,UserConfig.build,ConfigEnv.command,ResolvedConfig.command,HotBroadcaster.send,dist,RollupLog.pos,join,DevEnvironment.pluginContainer,PluginOption,RollupOptions.onwarn,EnvironmentPluginContainer.transform,EnvironmentModuleNode.id,RollupLog.code,EnvironmentModuleNode.file,relative,ResolvedConfig.base,path.dirname,EnvironmentModuleGraph.getModulesByFile,ResolvedBuildEnvironmentOptions.outDir,ResolvedEnvironmentOptions.build,isCSSRequest,resolve,TransformPluginContext.environment,RollupLog.message,ResolvedConfig.environments,path.normalize,BuildEnvironmentOptions.rollupOptions,node",""
"vite","@types",24,50,4,133,25,3325,"global.NodeJS.Process.env,global.NodeJS.Process.exit,GeneratorResult.code,BabelFileResult.code,path.PlatformPath.posix,GeneratorResult,path.PlatformPath.resolve,global.Buffer.toString,pick,path.PlatformPath.join,jsesc,path.PlatformPath.basename,path.PlatformPath.dirname,global.NodeJS.Process.cwd,path.PlatformPath.relative,transformAsync,BabelFileResult.map,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeRequire.resolve",""
"remove-exports","@babel",17,58,1,23,4,2300,"Identifier.name,ClassDeclaration.id,ExportDefaultDeclaration.declaration,ExportNamedDeclaration.specifiers,AssignmentExpression.left,Expression.type,VariableDeclarator.id,MemberExpression.object,LVal.type,ExportSpecifier.exported,ExportSpecifier.local,ExpressionStatement.expression,FunctionDeclaration.id,ParseResult,ExportDeclaration.type,ExportNamedDeclaration.declaration,VariableDeclaration.declarations",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.remove,NodePath.parentPath,NodePath.node,NodePath.isProgram",""
"remove-exports","no namespace",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.node,NodePath.isVariableDeclaration,NodePath.isFunctionDeclaration,Scope.generateUidIdentifier,NodePath.get,NodePath.scope,NodePath.isExportDefaultDeclaration,NodePath.isExpression,NodePath.isIdentifier,NodePath.isExportNamedDeclaration,NodePath.replaceWith",""
"with-props","@babel",10,14,1,21,4,2100,"importDeclaration,variableDeclaration,Program.body,importSpecifier,stringLiteral,identifier,variableDeclarator,ParseResult,ParseResult.program,callExpression",""
"cloudflare","no namespace",14,20,1,15,3,1500,"EnvironmentOptions.resolve,ViteDevServer.config,EnvironmentResolveOptions.externalConditions,ResolvedConfig.plugins,ResolvedServerOptions.middlewareMode,ViteDevServer.ssrLoadModule,ConfigEnv.mode,Plugin,GetPlatformProxyOptions,ViteDevServer.middlewares,Plugin.name,ResolvedConfig.server,Connect.Server.use,UserConfig.root",""
"cloudflare","@types",1,1,1,15,3,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,3,1500,"EnvironmentOptions.resolve,ViteDevServer.config,EnvironmentResolveOptions.externalConditions,ResolvedConfig.plugins,ResolvedServerOptions.middlewareMode,ViteDevServer.ssrLoadModule,ConfigEnv.mode,Plugin,GetPlatformProxyOptions,ViteDevServer.middlewares,Plugin.name,ResolvedConfig.server,Connect.Server.use,UserConfig.root",""
