"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"javax.annotation",78,353,386,1793,116,1485,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",67,151,267,749,116,1485,"Logger,LoggerFactory",""
"javax.persistence",15,27,82,311,116,1485,"LockModeType,EntityManager,Lob,MappedSuperclass,Id,Column,Basic,Entity,Table",""
"com.fasterxml.jackson.annotation",13,23,57,87,116,1485,"JsonCreator,JsonProperty,JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonIgnore,JsonTypeInfo$As",""
"jakarta.persistence",10,25,73,299,116,1485,"EntityManager,LockModeType,Id,Column,Entity,Basic,Lob,Table,Index",""
"io.axoniq.axonserver.grpc",7,30,55,273,116,1485,"ErrorMessage,InstructionAck$Builder,InstructionAck,ErrorMessage$Builder,MetaDataValue$DataCase,ProcessingKey,ProcessingInstruction,MetaDataValue,FlowControl",""
"io.axoniq.axonserver.connector",6,21,30,127,116,1485,"AxonServerConnectionFactory,AxonServerConnection,AxonServerConnectionFactory$Builder,FlowControl,ReplyChannel,Registration,ResultStreamPublisher,ResultStream",""
"org.hamcrest",5,27,59,370,116,1485,"Matcher,Matchers,Description,StringDescription,CoreMatchers,BaseMatcher,TypeSafeMatcher",""
"io.grpc",4,15,62,119,116,1485,"Channel,ManagedChannelBuilder,ClientInterceptor,ClientCall,Metadata,ForwardingClientCall$SimpleForwardingClientCall,ClientCall$Listener,Status$Code,Status",""
"reactor.core.publisher",4,27,49,198,116,1485,"Flux,SignalType,Mono,BaseSubscriber,FluxSink,MonoSink,EmitterProcessor,Sinks$ManySpec,Sinks",""
"com.github.kagkarlsson.scheduler",3,5,8,49,116,1485,"Scheduler,SchedulerState,ScheduledExecution",""
"com.github.kagkarlsson.scheduler.task",3,5,11,44,116,1485,"Task,TaskInstance,ExecutionContext,TaskWithDataDescriptor,TaskInstanceId",""
"io.grpc.stub",3,6,7,27,116,1485,"StreamObserver,ClientCallStreamObserver,ClientResponseObserver",""
"org.jobrunr.scheduling",3,5,7,34,116,1485,"JobScheduler,JobBuilder",""
"org.springframework.boot.actuate.health",3,4,7,24,116,1485,"Status,AbstractHealthIndicator,Health$Builder,SimpleStatusAggregator",""
"org.springframework.boot.autoconfigure",3,28,61,63,116,1485,"AutoConfiguration,AutoConfigureBefore,AutoConfigureAfter,AutoConfigurationPackages",""
"org.springframework.boot.autoconfigure.condition",3,41,75,168,116,1485,"ConditionalOnProperty,ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnBean,ConditionalOnExpression,ConditionalOnMissingClass,AnyNestedCondition,AllNestedConditions,ConditionOutcome",""
"org.springframework.context.annotation",3,36,48,152,116,1485,"Bean,Role,Primary,Conditional,Lazy,ConfigurationCondition$ConfigurationPhase,Configuration,ConditionContext,ConfigurationCondition",""
"com.fasterxml.jackson.databind",2,9,17,75,116,1485,"ObjectMapper,JsonNode,DeserializationContext,JsonDeserializer,ObjectMapper$DefaultTyping,DeserializationFeature,ObjectWriter,ObjectReader",""
"com.thoughtworks.xstream.io",2,4,9,39,116,1485,"HierarchicalStreamReader,HierarchicalStreamWriter,HierarchicalStreamDriver",""
