"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"axon-eventsourcing-5.0.3",,,false,,,1,14,7,14,3,1,3,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/eventstore/inmemory","axon-eventsourcing-5.0.3 -> axon-eventsourcing-5.0.3","",""
"axon-eventsourcing-5.0.3",,,true,,,1,14,7,14,4,1,4,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/eventhandling/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/annotation,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/entity/annotation,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/configuration","axon-eventsourcing-5.0.3 -> axon-messaging-5.0.3,axon-eventsourcing-5.0.3 -> axon-modelling-5.0.3","",""
"axon-eventsourcing-5.0.3",,,true,,,2,28,3,28,6,1,6,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/commandhandling/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/queryhandling/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/core/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling","axon-eventsourcing-5.0.3 -> axon-messaging-5.0.3,axon-eventsourcing-5.0.3 -> axon-modelling-5.0.3","",""
"axon-messaging-5.0.3",,,false,,,1,14,7,14,4,4,4,"/org/axonframework/messaging/eventhandling/replay/annotation -> /org/axonframework/messaging/eventhandling/replay,/org/axonframework/messaging/commandhandling/retry -> /org/axonframework/messaging/core/retry,/org/axonframework/messaging/core/reflection -> /org/axonframework/messaging/core/configuration/reflection,/org/axonframework/messaging/eventhandling/tracing -> /org/axonframework/messaging/tracing","axon-messaging-5.0.3 -> axon-messaging-5.0.3","",""
"axon-metrics-micrometer-5.0.3",,,false,,,1,14,7,14,1,1,1,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/extension/metrics/micrometer","axon-metrics-micrometer-5.0.3 -> axon-metrics-micrometer-5.0.3","",""
"axon-metrics-micrometer-5.0.3",,,false,,,2,28,3,28,1,1,1,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/extension/metrics/micrometer/reservoir","axon-metrics-micrometer-5.0.3 -> axon-metrics-micrometer-5.0.3","",""
"axon-metrics-micrometer-5.0.3",,,true,,,1,14,7,14,1,1,1,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/extension/springboot/autoconfig","axon-metrics-micrometer-5.0.3 -> axon-spring-boot-autoconfigure-5.0.3","",""
"axon-metrics-micrometer-5.0.3",,,true,,,2,28,3,28,18,1,18,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/eventsourcing/eventstore/jpa,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/conversion/jackson,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/conversion/jackson2,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/conversion/avro","axon-metrics-micrometer-5.0.3 -> axon-eventsourcing-5.0.3,axon-metrics-micrometer-5.0.3 -> axon-conversion-5.0.3,axon-metrics-micrometer-5.0.3 -> axon-messaging-5.0.3,axon-metrics-micrometer-5.0.3 -> axon-update-5.0.3","",""
"axon-metrics-micrometer-5.0.3",,,true,,,3,22,2,22,19,1,19,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/test/server,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/common/io,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/common/jdbc,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/common/jpa","axon-metrics-micrometer-5.0.3 -> axon-test-5.0.3,axon-metrics-micrometer-5.0.3 -> axon-common-5.0.3,axon-metrics-micrometer-5.0.3 -> axon-eventsourcing-5.0.3,axon-metrics-micrometer-5.0.3 -> axon-conversion-5.0.3","",""
"axon-metrics-micrometer-5.0.3",,,true,,,4,10,2,10,7,1,7,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/common/tx,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/common/function,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/messaging/commandhandling,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/messaging/eventhandling","axon-metrics-micrometer-5.0.3 -> axon-common-5.0.3,axon-metrics-micrometer-5.0.3 -> axon-messaging-5.0.3,axon-metrics-micrometer-5.0.3 -> axon-update-5.0.3","",""
