"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_overall.cypher"
"org.jspecify.annotations",124,124,124,124,124,1315,"NullMarked",""
"org.slf4j",37,74,135,477,124,1315,"LoggerFactory,Logger",""
"io.axoniq.axonserver.grpc",8,15,34,220,124,1315,"MetaDataValue$Builder,MetaDataValue,MetaDataValue$DataCase,ErrorMessage,SerializedObject,ErrorMessage$Builder,ProcessingKey,ProcessingInstruction,ProcessingInstruction$Builder",""
"io.axoniq.axonserver.connector",7,17,24,129,124,1315,"AxonServerConnection,ResultStream,ReplyChannel,FlowControl,Registration,AxonServerConnectionFactory,AxonServerConnectionFactory$Builder",""
"com.google.protobuf",6,9,9,39,124,1315,"ByteString,MessageLite",""
"io.grpc",6,8,26,60,124,1315,"Metadata$Key,StatusRuntimeException,Status,Metadata$AsciiMarshaller,Metadata,Status$Code,ForwardingClientCall$SimpleForwardingClientCall,ClientCall$Listener,ClientCall",""
"jakarta.persistence",5,16,40,181,124,1315,"Query,LockModeType,EntityManager,TypedQuery,Basic,IdClass,Id,Entity,Lob",""
"reactor.core.publisher",5,8,13,43,124,1315,"MonoSink,Flux,Mono,FluxSink",""
"io.axoniq.axonserver.connector.control",4,5,5,6,124,1315,"ControlChannel,ProcessorInstructionHandler",""
"org.springframework.boot.context.properties",4,9,9,9,124,1315,"ConfigurationProperties,EnableConfigurationProperties",""
"com.fasterxml.jackson.annotation",3,6,19,33,124,1315,"JsonProperty,JsonGetter,JsonTypeInfo,JsonTypeInfo$Id,JsonCreator,JsonIgnore",""
"io.axoniq.axonserver.grpc.control",3,6,13,86,124,1315,"NodeInfo,NodeInfo$Builder,EventProcessorInfo,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo$Builder,EventProcessorInfo$SegmentStatus,UpdateType,TopologyChange,QuerySubscription",""
"io.axoniq.framework.messaging.commandhandling.distributed",3,4,7,26,124,1315,"PayloadConvertingCommandBusConnector,CommandBusConnector,CommandBusConnector$ResultCallback,CommandBusConnector$Handler,DistributedCommandBusConfiguration",""
"io.axoniq.framework.messaging.queryhandling.distributed",3,5,8,28,124,1315,"QueryBusConnector$Handler,QueryBusConnector,QueryBusConnector$UpdateCallback,PayloadConvertingQueryBusConnector,DistributedQueryBusConfiguration",""
"io.micrometer.core.instrument",3,13,37,140,124,1315,"Tags,Tag,Timer$Builder,Clock,MeterRegistry,Counter,Timer,Gauge,Gauge$Builder",""
"org.hamcrest",3,22,44,196,124,1315,"Matcher,StringDescription,CoreMatchers,Description,BaseMatcher,TypeSafeMatcher",""
"org.reactivestreams",3,6,7,26,124,1315,"Publisher,Subscription,Subscriber",""
"org.springframework.boot.actuate.health",3,4,7,24,124,1315,"Status,SimpleStatusAggregator,Health$Builder,AbstractHealthIndicator",""
"com.fasterxml.jackson.databind",2,6,11,56,124,1315,"JsonNode,SerializationFeature,ObjectMapper,JavaType",""
"com.fasterxml.jackson.databind.node",2,3,5,28,124,1315,"ObjectNode,ArrayNode,JsonNodeType",""
"io.axoniq.axonserver.connector.event",2,6,9,40,124,1315,"SnapshotChannel,EventStream,EventChannel,AppendEventsTransaction,AggregateEventStream,DcbEventChannel,DcbEventChannel$AppendEventsTransaction",""
"io.axoniq.axonserver.grpc.event.dcb",2,7,36,132,124,1315,"GetLastSnapshotRequest$Builder,AddSnapshotResponse,AddSnapshotRequest,AddSnapshotRequest$Builder,GetLastSnapshotResponse,Snapshot,GetLastSnapshotRequest,Snapshot$Builder,SequencedEvent",""
"io.micrometer.core.instrument.simple",2,2,2,4,124,1315,"SimpleMeterRegistry",""
"org.springframework.boot.autoconfigure",2,7,10,10,124,1315,"AutoConfiguration,AutoConfigureBefore,AutoConfigureAfter",""
"org.springframework.boot.autoconfigure.condition",2,7,18,27,124,1315,"ConditionalOnProperty,ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnBean",""
"org.springframework.context.annotation",2,7,7,14,124,1315,"Bean",""
"IdTypeParameterResolver",1,1,1,1,124,1315,"IdTypeParameterResolver",""
"ScannedEntityCreator",1,1,1,4,124,1315,"ScannedEntityCreator",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,124,1315,"WrappedEventCriteriaBuilderMethod",""
"com.fasterxml.jackson.core",1,1,1,1,124,1315,"JsonProcessingException",""
"io.axoniq.axonserver.connector.admin",1,1,1,3,124,1315,"AdminChannel",""
"io.axoniq.axonserver.connector.command",1,1,1,3,124,1315,"CommandChannel",""
"io.axoniq.axonserver.connector.impl",1,1,1,3,124,1315,"ServerAddress",""
"io.axoniq.axonserver.connector.query",1,3,6,19,124,1315,"QueryChannel,QueryDefinition,SubscriptionQueryResult,QueryHandler$UpdateHandler,QueryHandler",""
"io.axoniq.axonserver.grpc.command",1,3,8,64,124,1315,"Command,CommandResponse,CommandResponse$Builder,Command$Builder",""
"io.axoniq.axonserver.grpc.event",1,3,5,32,124,1315,"EventWithToken,Event,Event$Builder,ConfirmationWithConsistencyMarker",""
"io.axoniq.axonserver.grpc.query",1,5,14,98,124,1315,"QueryResponse,QueryResponse$Builder,QueryUpdate,SubscriptionQuery,QueryRequest,QueryRequest$Builder,QueryUpdate$Builder",""
"io.axoniq.framework.messaging.deadletter",1,2,2,2,124,1315,"SequencedDeadLetterQueue",""
"io.axoniq.framework.messaging.eventhandling.deadletter",1,3,4,15,124,1315,"SequencedDeadLetterQueueFactory,DeadLetterQueueConfiguration",""
"io.axoniq.framework.messaging.eventhandling.deadletter.jdbc",1,1,3,12,124,1315,"DeadLetterSchema,JdbcSequencedDeadLetterQueue,JdbcSequencedDeadLetterQueue$Builder",""
"io.axoniq.framework.messaging.eventhandling.deadletter.jpa",1,1,2,7,124,1315,"JpaSequencedDeadLetterQueue,JpaSequencedDeadLetterQueue$Builder",""
"io.axoniq.framework.postgresql",1,2,2,2,124,1315,"PostgresqlConfigurationEnhancer,PostgresqlEventStorageEngine",""
"io.axoniq.framework.testcontainer",1,2,2,6,124,1315,"AxonServerContainer",""
"io.grpc.netty.shaded.io.grpc.netty",1,1,1,1,124,1315,"GrpcSslContexts",""
"io.grpc.netty.shaded.io.netty.handler.ssl",1,1,1,2,124,1315,"SslContextBuilder",""
"io.grpc.stub",1,1,2,5,124,1315,"ClientCallStreamObserver,ClientResponseObserver",""
"io.opentelemetry.api",1,1,1,2,124,1315,"GlobalOpenTelemetry",""
"io.opentelemetry.api.trace",1,3,9,47,124,1315,"Span,SpanBuilder,SpanKind,Tracer,SpanContext,StatusCode",""
"io.opentelemetry.context",1,2,2,7,124,1315,"Context,Scope",""
"io.opentelemetry.context.propagation",1,4,9,16,124,1315,"TextMapPropagator,TextMapGetter,TextMapSetter,ContextPropagators",""
"jakarta.validation",1,2,5,16,124,1315,"ConstraintViolation,ValidatorFactory,Validator,Validation",""
"javax.cache",1,1,1,13,124,1315,"Cache",""
"javax.cache.configuration",1,2,3,9,124,1315,"CacheEntryListenerConfiguration,Factory",""
"javax.cache.event",1,1,8,26,124,1315,"CacheEntryUpdatedListener,CacheEntryExpiredListener,CacheEntryListenerException,CacheEntryListener,CacheEntryEventFilter,CacheEntryEvent,CacheEntryCreatedListener,CacheEntryRemovedListener",""
"org.apache.avro",1,4,16,54,124,1315,"Schema,SchemaCompatibility$Incompatibility,AvroRuntimeException,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaIncompatibilityType,SchemaNormalization,SchemaCompatibility,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaCompatibilityType",""
"org.apache.avro.generic",1,6,7,29,124,1315,"GenericRecord,GenericDatumReader,GenericData",""
"org.apache.avro.io",1,1,1,3,124,1315,"DecoderFactory",""
"org.apache.avro.message",1,6,8,28,124,1315,"BinaryMessageDecoder,BinaryMessageEncoder,SchemaStore,BadHeaderException",""
"org.apache.avro.specific",1,2,4,14,124,1315,"SpecificRecordBase,SpecificData",""
"org.apache.commons.lang3.tuple",1,1,1,4,124,1315,"Pair",""
"org.awaitility",1,1,1,1,124,1315,"Awaitility",""
"org.awaitility.core",1,1,1,2,124,1315,"ConditionFactory",""
"org.axonframework.extension.springboot.autoconfig",1,1,1,1,124,1315,"AxonAutoConfiguration",""
"org.axonframework.extension.springboot.util",1,1,1,1,124,1315,"RegisterDefaultEntities",""
"org.ehcache.config",1,1,1,2,124,1315,"CacheRuntimeConfiguration",""
"org.ehcache.core",1,1,1,13,124,1315,"Ehcache",""
"org.ehcache.event",1,3,8,30,124,1315,"CacheEventListener,CacheEvent,EventType,EventFiring,EventOrdering",""
"org.junit.jupiter.api.extension",1,1,8,28,124,1315,"ParameterResolutionException,BeforeEachCallback,ExtensionContext$Namespace,ExtensionContext$Store,AfterEachCallback,ParameterResolver,ExtensionContext,ParameterContext",""
"org.springframework.beans",1,1,1,1,124,1315,"BeansException",""
"org.springframework.boot.autoconfigure.service.connection",1,3,3,3,124,1315,"ConnectionDetails",""
"org.springframework.boot.docker.compose.core",1,1,2,5,124,1315,"ConnectionPorts,RunningService",""
"org.springframework.boot.docker.compose.service.connection",1,1,2,5,124,1315,"DockerComposeConnectionDetailsFactory,DockerComposeConnectionSource",""
"org.springframework.boot.testcontainers.service.connection",1,2,4,9,124,1315,"ContainerConnectionDetailsFactory,ContainerConnectionSource,ContainerConnectionDetailsFactory$ContainerConnectionDetails",""
"org.springframework.context",1,1,2,4,124,1315,"ApplicationContext,ApplicationContextAware",""
"org.springframework.lang",1,1,1,1,124,1315,"Nullable",""
"reactor.core.scheduler",1,1,2,2,124,1315,"Scheduler,Schedulers",""
"reactor.util.concurrent",1,2,2,4,124,1315,"Queues",""
