"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_overall.cypher"
"org.jspecify.annotations",124,124,124,124,124,1313,"NullMarked",""
"org.slf4j",37,74,135,476,124,1313,"LoggerFactory,Logger",""
"io.axoniq.axonserver.grpc",8,15,34,220,124,1313,"ErrorMessage,SerializedObject$Builder,MetaDataValue,MetaDataValue$Builder,SerializedObject,MetaDataValue$DataCase,ErrorMessage$Builder,ProcessingInstruction$Builder,ProcessingKey",""
"io.axoniq.axonserver.connector",7,17,24,129,124,1313,"AxonServerConnection,AxonServerConnectionFactory,AxonServerConnectionFactory$Builder,ResultStream,Registration,ReplyChannel,FlowControl",""
"com.google.protobuf",6,9,9,39,124,1313,"ByteString,MessageLite",""
"io.grpc",6,8,26,60,124,1313,"StatusRuntimeException,Status$Code,Status,ClientInterceptor,ManagedChannelBuilder,Metadata,Metadata$Key,Metadata$AsciiMarshaller,ClientCall$Listener",""
"jakarta.persistence",5,16,40,181,124,1313,"Basic,Id,Column,Entity,Lob,IdClass,LockModeType,Query,EntityManager",""
"reactor.core.publisher",5,8,13,45,124,1313,"Mono,FluxSink,Flux,MonoSink",""
"io.axoniq.axonserver.connector.control",4,5,5,6,124,1313,"ControlChannel,ProcessorInstructionHandler",""
"org.springframework.boot.context.properties",4,9,9,9,124,1313,"ConfigurationProperties,EnableConfigurationProperties",""
"com.fasterxml.jackson.annotation",3,6,19,33,124,1313,"JsonIgnore,JsonProperty,JsonTypeInfo$Id,JsonTypeInfo,JsonGetter,JsonCreator",""
"io.axoniq.axonserver.grpc.control",3,6,13,86,124,1313,"NodeInfo$Builder,NodeInfo,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo$SegmentStatus,EventProcessorInfo$Builder,EventProcessorInfo,TopologyChange,QuerySubscription,CommandSubscription",""
"io.axoniq.framework.messaging.commandhandling.distributed",3,4,7,26,124,1313,"CommandBusConnector,CommandBusConnector$ResultCallback,CommandBusConnector$Handler,PayloadConvertingCommandBusConnector,DistributedCommandBusConfiguration",""
"io.axoniq.framework.messaging.queryhandling.distributed",3,5,8,28,124,1313,"QueryBusConnector$UpdateCallback,QueryBusConnector$Handler,QueryBusConnector,PayloadConvertingQueryBusConnector,DistributedQueryBusConfiguration",""
"io.micrometer.core.instrument",3,13,37,141,124,1313,"Clock,Timer,MeterRegistry,Tag,Tags,Counter,Gauge$Builder,Gauge,Timer$Builder",""
"org.hamcrest",3,22,44,196,124,1313,"Description,Matcher,TypeSafeMatcher,BaseMatcher,StringDescription,CoreMatchers",""
"org.reactivestreams",3,6,7,26,124,1313,"Subscriber,Subscription,Publisher",""
"org.springframework.boot.actuate.health",3,4,7,24,124,1313,"Status,SimpleStatusAggregator,Health$Builder,AbstractHealthIndicator",""
"com.fasterxml.jackson.databind",2,6,11,56,124,1313,"JsonNode,ObjectMapper,JavaType,SerializationFeature",""
"com.fasterxml.jackson.databind.node",2,3,5,28,124,1313,"ObjectNode,JsonNodeType,ArrayNode",""
"io.axoniq.axonserver.connector.event",2,6,9,40,124,1313,"SnapshotChannel,DcbEventChannel$AppendEventsTransaction,DcbEventChannel,AggregateEventStream,EventChannel,AppendEventsTransaction,EventStream",""
"io.axoniq.axonserver.grpc.event.dcb",2,7,36,132,124,1313,"GetLastSnapshotRequest,AddSnapshotResponse,Snapshot,Snapshot$Builder,GetLastSnapshotRequest$Builder,AddSnapshotRequest,AddSnapshotRequest$Builder,GetLastSnapshotResponse,Event$Builder",""
"io.micrometer.core.instrument.simple",2,2,2,4,124,1313,"SimpleMeterRegistry",""
"org.springframework.boot.autoconfigure",2,7,10,10,124,1313,"AutoConfiguration,AutoConfigureAfter,AutoConfigureBefore",""
"org.springframework.boot.autoconfigure.condition",2,7,18,29,124,1313,"ConditionalOnClass,ConditionalOnMissingBean,ConditionalOnProperty,ConditionalOnBean",""
"org.springframework.context.annotation",2,7,7,15,124,1313,"Bean",""
"IdTypeParameterResolver",1,1,1,1,124,1313,"IdTypeParameterResolver",""
"ScannedEntityCreator",1,1,1,4,124,1313,"ScannedEntityCreator",""
