"artifactName","artifactPackages","artifactTypes","numberOfPackages","numberOfExternalPackages","externalPackageNames","maxPackagesCallingExternalRate","maxTypesCallingExternalRate","somePackageNames","someTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_internal_package_count.cypher"
"axon-messaging-5.1.2",57,633,57,1,"org.jspecify.annotations",100,9.004739336492891,"org.axonframework.messaging.monitoring,org.axonframework.messaging.monitoring.interception,org.axonframework.messaging.monitoring.configuration,org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.annotation,org.axonframework.messaging.commandhandling.interception,org.axonframework.messaging.commandhandling.gateway,org.axonframework.messaging.commandhandling.retry,org.axonframework.messaging.commandhandling.tracing","org.axonframework.messaging.monitoring.package-info,org.axonframework.messaging.monitoring.interception.package-info,org.axonframework.messaging.monitoring.configuration.package-info,org.axonframework.messaging.commandhandling.package-info,org.axonframework.messaging.commandhandling.annotation.package-info,org.axonframework.messaging.commandhandling.interception.package-info,org.axonframework.messaging.commandhandling.gateway.package-info,org.axonframework.messaging.commandhandling.retry.package-info,org.axonframework.messaging.commandhandling.tracing.package-info",""
"axon-common-5.1.2",15,175,15,1,"org.jspecify.annotations",100,8.571428571428571,"org.axonframework.common,org.axonframework.common.io,org.axonframework.common.annotation,org.axonframework.common.jdbc,org.axonframework.common.util,org.axonframework.common.property,org.axonframework.common.caching,org.axonframework.common.tx,org.axonframework.common.digest","org.axonframework.common.package-info,org.axonframework.common.io.package-info,org.axonframework.common.annotation.package-info,org.axonframework.common.jdbc.package-info,org.axonframework.common.util.package-info,org.axonframework.common.property.package-info,org.axonframework.common.caching.package-info,org.axonframework.common.tx.package-info,org.axonframework.common.digest.package-info",""
"axon-messaging-5.1.2",57,633,13,1,"org.slf4j",22.807017543859647,4.581358609794629,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.interception,org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.eventhandling.processing.streaming.pooled,org.axonframework.messaging.eventhandling.processing.streaming.segmenting,org.axonframework.messaging.queryhandling","org.axonframework.messaging.commandhandling.SimpleCommandBus,org.axonframework.messaging.commandhandling.interception.CommandSequencingInterceptor,org.axonframework.messaging.eventhandling.EventSubscribers,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.InMemoryTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor,org.axonframework.messaging.eventhandling.processing.streaming.pooled.SplitTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage",""
"axon-eventsourcing-5.1.2",11,130,11,1,"org.jspecify.annotations",100.00000000000001,8.461538461538462,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.annotation,org.axonframework.eventsourcing.annotation.reflection,org.axonframework.eventsourcing.snapshot.inmemory,org.axonframework.eventsourcing.snapshot.store,org.axonframework.eventsourcing.snapshot.api,org.axonframework.eventsourcing.handler,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.inmemory","org.axonframework.eventsourcing.package-info,org.axonframework.eventsourcing.annotation.package-info,org.axonframework.eventsourcing.annotation.reflection.package-info,org.axonframework.eventsourcing.snapshot.inmemory.package-info,org.axonframework.eventsourcing.snapshot.store.package-info,org.axonframework.eventsourcing.snapshot.api.package-info,org.axonframework.eventsourcing.handler.package-info,org.axonframework.eventsourcing.eventstore.package-info,org.axonframework.eventsourcing.eventstore.inmemory.package-info",""
"axon-server-connector-5.1.2",10,79,10,1,"org.jspecify.annotations",100,12.658227848101266,"io.axoniq.framework.axonserver.connector.shared,io.axoniq.framework.axonserver.connector.snapshot,io.axoniq.framework.axonserver.connector.util,io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.api.query,io.axoniq.framework.axonserver.connector.api.command,io.axoniq.framework.axonserver.connector.event,io.axoniq.framework.axonserver.connector.configuration","io.axoniq.framework.axonserver.connector.shared.package-info,io.axoniq.framework.axonserver.connector.snapshot.package-info,io.axoniq.framework.axonserver.connector.util.package-info,io.axoniq.framework.axonserver.connector.query.package-info,io.axoniq.framework.axonserver.connector.api.package-info,io.axoniq.framework.axonserver.connector.api.query.package-info,io.axoniq.framework.axonserver.connector.api.command.package-info,io.axoniq.framework.axonserver.connector.event.package-info,io.axoniq.framework.axonserver.connector.configuration.package-info",""
"axon-server-connector-5.1.2",10,79,8,1,"io.axoniq.axonserver.grpc",80,18.9873417721519,"io.axoniq.framework.axonserver.connector.shared,io.axoniq.framework.axonserver.connector.util,io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.api.query,io.axoniq.framework.axonserver.connector.api.command,io.axoniq.framework.axonserver.connector.event,io.axoniq.framework.axonserver.connector.command","io.axoniq.framework.axonserver.connector.shared.ExceptionConverter,io.axoniq.framework.axonserver.connector.shared.MetadataConverter,io.axoniq.framework.axonserver.connector.shared.ExceptionFactory,io.axoniq.framework.axonserver.connector.shared.MetadataConverter$1,io.axoniq.framework.axonserver.connector.util.ProcessingInstructionUtils,io.axoniq.framework.axonserver.connector.query.QueryConverter,io.axoniq.framework.axonserver.connector.api.AxonServerException,io.axoniq.framework.axonserver.connector.api.query.AxonServerRemoteQueryHandlingException,io.axoniq.framework.axonserver.connector.api.query.AxonServerQueryDispatchException",""
"axon-modelling-5.1.2",7,99,7,1,"org.jspecify.annotations",100,7.070707070707071,"org.axonframework.modelling,org.axonframework.modelling.annotation,org.axonframework.modelling.entity,org.axonframework.modelling.entity.annotation,org.axonframework.modelling.entity.child,org.axonframework.modelling.configuration,org.axonframework.modelling.repository","org.axonframework.modelling.package-info,org.axonframework.modelling.annotation.package-info,org.axonframework.modelling.entity.package-info,org.axonframework.modelling.entity.annotation.package-info,org.axonframework.modelling.entity.child.package-info,org.axonframework.modelling.configuration.package-info,org.axonframework.modelling.repository.package-info",""
"axon-server-connector-5.1.2",10,79,6,3,"com.google.protobuf,io.grpc,io.axoniq.axonserver.connector",60,20.253164556962027,"io.axoniq.framework.axonserver.connector.shared,io.axoniq.framework.axonserver.connector.snapshot,io.axoniq.framework.axonserver.connector.util,io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.event,io.axoniq.framework.axonserver.connector.command","io.axoniq.framework.axonserver.connector.shared.ExceptionConverter,io.axoniq.framework.axonserver.connector.snapshot.AxonServerSnapshotStore,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1$1,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1,io.axoniq.framework.axonserver.connector.query.QueryConverter,io.axoniq.framework.axonserver.connector.event.ConditionConverter,io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine,io.axoniq.framework.axonserver.connector.event.TaggedEventConverter,io.axoniq.framework.axonserver.connector.command.CommandConverter",""
"axon-conversion-5.1.2",5,41,5,1,"org.jspecify.annotations",100,12.195121951219512,"org.axonframework.conversion,org.axonframework.conversion.jackson,org.axonframework.conversion.converter,org.axonframework.conversion.jackson2,org.axonframework.conversion.avro","org.axonframework.conversion.package-info,org.axonframework.conversion.jackson.package-info,org.axonframework.conversion.converter.package-info,org.axonframework.conversion.jackson2.package-info,org.axonframework.conversion.avro.package-info",""
"axon-messaging-5.1.2",57,633,5,1,"reactor.core.publisher",8.771929824561402,1.263823064770932,"org.axonframework.messaging.queryhandling,org.axonframework.messaging.queryhandling.annotation,org.axonframework.messaging.queryhandling.gateway,org.axonframework.messaging.core,org.axonframework.messaging.core.annotation","org.axonframework.messaging.queryhandling.MonoSinkWrapper,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition$MethodQueryHandlingMember,org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway,org.axonframework.messaging.core.FluxMessageStream,org.axonframework.messaging.core.MonoUtils,org.axonframework.messaging.core.FluxUtils,org.axonframework.messaging.core.FluxUtils$FluxStreamAdapter,org.axonframework.messaging.core.annotation.MessageStreamResolverUtils",""
