"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/topological-sort/Topological_Sort_Query.cypher"
"org.axonframework.eventsourcing.configuration","configuration",0,0,4,31,1237,""
"org.axonframework.messaging.commandhandling.tracing","tracing",1,0,4,7,156,""
"org.axonframework.messaging.eventhandling.replay.annotation","annotation",2,0,4,6,156,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",3,0,4,1,30,""
"org.axonframework.messaging.commandhandling.retry","retry",4,0,4,0,168,""
"org.axonframework.test.extension","extension",5,0,4,5,11,""
"org.axonframework.messaging.core.unitofwork.annotation","annotation",6,0,4,1,17,""
"org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",7,0,4,2,24,""
"org.axonframework.messaging.core.reflection","reflection",8,0,4,0,44,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",9,0,4,13,160,""
"org.axonframework.messaging.eventhandling.tracing","tracing",10,0,4,6,135,""
"org.axonframework.messaging.queryhandling.tracing","tracing",11,0,4,6,73,""
"org.axonframework.common.digest","digest",12,0,4,0,1,""
"org.axonframework.extension.metrics.micrometer.springboot","springboot",13,0,4,5,14,""
"org.axonframework.common.lock","lock",14,0,4,17,21,""
"org.axonframework.conversion.converter","converter",15,0,4,0,7,""
"org.axonframework.extension.tracing.opentelemetry","opentelemetry",16,0,4,5,37,""
"org.axonframework.common.caching","caching",17,0,4,22,43,""
"org.axonframework.messaging.tracing.attributes","attributes",18,0,4,0,28,""
"org.axonframework.messaging.core.retry","retry",19,1,4,23,179,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",20,1,4,12,397,""
"org.axonframework.modelling.configuration","configuration",21,1,4,36,585,""
"org.axonframework.extension.springboot.autoconfig","autoconfig",22,1,4,60,714,""
"org.axonframework.extension.metrics.micrometer","micrometer",23,1,4,19,232,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir",24,2,4,2,0,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",25,2,4,6,99,""
"org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",26,2,4,4,24,""
"org.axonframework.extension.springboot","springboot",27,2,4,34,24,""
"org.axonframework.extension.springboot.service.connection","connection",28,2,4,5,6,""
"org.axonframework.extension.springboot.actuator.axonserver","axonserver",29,2,4,2,3,""
"org.axonframework.extension.springboot.util","util",30,2,4,9,7,""
"org.axonframework.extension.springboot.util.jpa","jpa",31,2,4,1,1,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",32,2,4,17,1239,""
"org.axonframework.update","update",33,2,4,10,93,""
"org.axonframework.conversion.jackson2","jackson2",34,2,4,5,21,""
"org.axonframework.conversion.avro","avro",35,2,4,22,49,""
"org.axonframework.update.detection","detection",36,3,4,5,5,""
"org.axonframework.update.common","common",37,3,4,1,1,""
"org.axonframework.update.api","api",38,4,4,18,11,""
"org.axonframework.extension.springboot.actuator","actuator",39,3,4,2,0,""
"org.axonframework.test.server","server",40,3,4,3,2,""
"org.axonframework.messaging.core.timeout","timeout",41,3,4,15,182,""
"org.axonframework.update.configuration","configuration",42,3,4,19,19,""
"org.axonframework.common.jpa","jpa",43,3,4,10,14,""
"org.axonframework.common.jdbc","jdbc",44,3,4,21,19,""
"org.axonframework.messaging.tracing","tracing",45,1,4,136,68,""
"org.axonframework.test.fixture","fixture",46,1,4,134,1079,""
"org.axonframework.test.util","util",47,2,4,23,164,""
"org.axonframework.test.matchers","matchers",48,2,4,35,47,""
"org.axonframework.test","test",119,3,4,8,13,""
